year,price,acreage,harvest,production,yield,loan,bf,Ef,hc,mf,She,tf,heat,export,import,railrate,railcar,supply,disapp,feed,fai
1866/67,0.66,NA,30.02,730.81,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867/68,0.78,NA,32.12,793.91,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868/69,0.62,NA,35.12,919.59,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869/70,0.73,NA,35.83,782.08,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870/71,0.52,NA,38.39,"1,124.78",29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871/72,0.46,NA,42,"1,141.72",27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872/73,0.38,NA,43.58,"1,279.37",29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873/74,0.48,NA,44.08,"1,008.33",22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874/75,0.64,NA,47.64,"1,058.78",22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875/76,0.42,NA,52.45,"1,450.28",27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876/77,0.36,NA,55.28,"1,478.17",26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877/78,0.36,NA,58.8,"1,515.86",25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878/79,0.31,NA,59.66,"1,564.54",26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879/80,0.36,NA,62.23,"1,751.98",28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880/81,0.39,NA,62.55,"1,706.67",27.3,NA,NA,NA,NA,NA,NA,NA,-0.2075,NA,NA,NA,NA,NA,NA,NA,NA
1881/82,0.63,NA,63.03,"1,244.8",19.8,NA,NA,NA,NA,NA,NA,NA,-0.22,NA,NA,NA,NA,NA,NA,NA,NA
1882/83,0.48,NA,66.16,"1,755.27",26.5,NA,NA,NA,NA,NA,NA,NA,-0.35,NA,NA,NA,NA,NA,NA,NA,NA
1883/84,0.42,NA,68.17,"1,652.15",24.2,NA,NA,NA,NA,NA,NA,NA,-0.4,NA,NA,NA,NA,NA,NA,NA,NA
1884/85,0.35,NA,68.83,"1,947.84",28.3,NA,NA,NA,NA,NA,NA,NA,-0.4775,NA,NA,NA,NA,NA,NA,NA,NA
1885/86,0.32,NA,71.85,"2,057.81",28.6,NA,NA,NA,NA,NA,NA,NA,-0.3875,NA,NA,NA,NA,NA,NA,NA,NA
1886/87,0.36,NA,73.91,"1,782.77",24.1,NA,NA,NA,NA,NA,NA,NA,-0.42,NA,NA,NA,NA,NA,NA,NA,NA
1887/88,0.43,NA,73.3,"1,604.55",21.9,NA,NA,NA,NA,NA,NA,NA,-0.296666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1888/89,0.33,NA,77.47,"2,250.63",29.1,NA,NA,NA,NA,NA,NA,NA,-0.05,NA,NA,NA,NA,NA,NA,NA,NA
1889/90,0.28,NA,77.66,"2,294.29",29.5,NA,NA,NA,NA,NA,NA,NA,-0.43,NA,NA,NA,NA,NA,NA,NA,NA
1890/91,0.5,NA,74.79,"1,650.45",22.1,NA,NA,NA,NA,NA,NA,NA,-0.325833333333333,NA,NA,NA,NA,NA,NA,NA,NA
1891/92,0.4,NA,78.86,"2,335.8",29.6,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,NA,NA,NA,NA,NA
1892/93,0.39,NA,76.91,"1,897.41",24.7,NA,NA,NA,NA,NA,NA,NA,-0.49,NA,NA,NA,NA,NA,NA,NA,NA
1893/94,0.36,NA,79.83,"1,900.4",23.8,NA,NA,NA,NA,NA,NA,NA,-0.39,NA,NA,NA,NA,NA,NA,NA,NA
1894/95,0.45,NA,80.07,"1,615.02",20.2,NA,NA,NA,NA,NA,NA,NA,-0.366666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1895/96,0.25,NA,90.48,"2,534.76",28,NA,NA,NA,NA,NA,NA,NA,-0.195,NA,NA,NA,NA,NA,NA,NA,NA
1896/97,0.21,NA,89.07,"2,671.05",30,NA,NA,NA,NA,NA,NA,NA,-0.14,NA,NA,NA,NA,NA,NA,NA,NA
1897/98,0.26,NA,89.97,"2,287.63",25.4,NA,NA,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,NA,NA,NA,NA,NA
1898/99,0.29,NA,87.78,"2,351.32",26.8,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,NA,NA,NA,NA,NA
1899/00,0.3,NA,94.59,"2,645.8",28,NA,NA,NA,NA,NA,NA,NA,-0.0916666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1900/01,0.35,NA,94.85,"2,661.98",28.1,NA,NA,NA,NA,NA,NA,NA,0.00916666666666666,NA,NA,NA,NA,NA,NA,NA,NA
1901/02,0.6,NA,94.42,"1,715.75",18.2,NA,NA,NA,NA,NA,NA,NA,-0.285833333333333,NA,NA,NA,NA,NA,NA,NA,NA
1902/03,0.4,NA,97.18,"2,773.95",28.5,NA,NA,NA,NA,NA,NA,NA,-0.37,NA,NA,NA,NA,NA,NA,NA,NA
1903/04,0.42,NA,93.56,"2,515.09",26.9,NA,NA,NA,NA,NA,NA,NA,-0.535,NA,NA,NA,NA,NA,NA,NA,NA
1904/05,0.44,NA,95.23,"2,686.62",28.2,NA,NA,NA,NA,NA,NA,NA,-0.375,NA,NA,NA,NA,NA,NA,NA,NA
1905/06,0.41,NA,95.75,"2,954.15",30.9,NA,NA,NA,NA,NA,NA,NA,-0.21,NA,NA,NA,NA,NA,NA,NA,NA
1906/07,0.39,NA,95.62,"3,032.91",31.7,NA,NA,NA,NA,NA,NA,NA,-0.388333333333333,NA,NA,NA,NA,NA,NA,NA,NA
1907/08,0.51,NA,96.09,"2,613.8",27.2,NA,NA,NA,NA,NA,NA,NA,-0.45,NA,NA,NA,NA,NA,NA,NA,NA
1908/09,0.65,NA,95.29,"2,566.74",26.9,NA,NA,NA,NA,NA,NA,NA,-0.524166666666667,NA,NA,NA,NA,NA,NA,NA,NA
1909/10,0.58,NA,100.2,"2,611.16",26.1,NA,NA,NA,NA,NA,NA,NA,-0.373333333333333,NA,NA,NA,NA,NA,NA,NA,NA
1910/11,0.48,NA,102.27,"2,852.79",27.9,NA,NA,NA,NA,NA,NA,NA,-0.4925,NA,NA,NA,NA,NA,NA,NA,NA
1911/12,0.65,NA,101.39,"2,474.64",24.4,NA,NA,NA,NA,NA,NA,NA,-0.315,NA,NA,NA,NA,NA,NA,NA,NA
1912/13,0.51,NA,101.45,"2,947.84",29.1,NA,NA,NA,NA,NA,NA,NA,-0.575833333333333,NA,NA,NA,NA,NA,NA,NA,NA
1913/14,0.66,NA,100.21,"2,272.54",22.7,NA,NA,NA,NA,NA,NA,NA,-0.2175,NA,NA,NA,NA,NA,NA,NA,NA
1914/15,0.67,NA,97.8,"2,523.75",25.8,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,NA,NA,NA,NA,NA,NA,NA
1915/16,0.65,NA,100.62,"2,829.04",28.1,NA,NA,NA,NA,NA,NA,NA,-0.230833333333333,NA,NA,NA,NA,NA,NA,NA,NA
1916/17,1.13,NA,100.56,"2,425.21",24.1,NA,NA,NA,NA,NA,NA,NA,-0.541666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1917/18,1.39,NA,110.89,"2,908.24",26.2,NA,NA,NA,NA,NA,NA,NA,-0.46,NA,NA,NA,NA,NA,NA,NA,NA
1918/19,1.45,NA,102.2,"2,441.25",23.9,NA,NA,NA,NA,NA,NA,NA,-0.32,NA,NA,NA,NA,NA,NA,NA,NA
1919/20,1.44,NA,87.49,"2,341.87",26.8,NA,NA,NA,NA,NA,NA,NA,-0.221666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1920/21,0.54,NA,90.15,"2,695.09",29.9,NA,NA,NA,NA,NA,NA,NA,-0.2025,NA,NA,NA,NA,NA,NA,NA,NA
1921/22,0.46,NA,91.94,"2,556.92",27.8,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,NA,NA,NA,NA
1922/23,0.69,NA,84.86,"2,229.5",26.3,NA,NA,NA,NA,NA,NA,NA,-0.2925,NA,NA,NA,NA,NA,NA,NA,NA
1923/24,0.76,NA,87.49,"2,429.55",27.8,NA,NA,NA,NA,NA,NA,NA,-0.075,NA,NA,NA,NA,NA,NA,NA,NA
1924/25,1.02,NA,84.12,"1,860.11",22.1,NA,NA,NA,NA,NA,NA,NA,-0.1975,NA,NA,NA,NA,NA,NA,NA,NA
1925/26,0.65,NA,86.83,"2,382.29",27.4,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
1926/27,0.72,99.66,83.28,"2,140.21",25.7,NA,NA,NA,NA,NA,NA,NA,-0.13,NA,NA,NA,NA,NA,NA,NA,NA
1927/28,0.8,98.46,83.92,"2,218.19",26.4,NA,NA,NA,NA,NA,NA,NA,-0.06,NA,NA,NA,NA,NA,NA,NA,NA
1928/29,0.8,100.4,85.83,"2,260.99",26.3,NA,NA,NA,NA,NA,NA,NA,-0.261666666666667,NA,NA,NA,NA,NA,NA,NA,NA
1929/30,0.76,99.13,83.19,"2,135.04",25.7,NA,NA,NA,NA,NA,NA,NA,-0.11,NA,NA,NA,NA,NA,NA,NA,NA
1930/31,0.55,103.92,85.53,"1,757.3",20.5,NA,NA,NA,NA,NA,NA,NA,0.0375,NA,NA,NA,NA,NA,NA,NA,NA
1931/32,0.29,109.36,91.13,"2,229.9",24.5,NA,NA,NA,NA,NA,NA,NA,0.0175,NA,NA,NA,NA,NA,NA,NA,NA
