"Table 15--Feed-price ratios for livestock, poultry, and milk",,,,,,,,,,,,,,
"Ratio and
mkt yr 1/",,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Avg 2/
"Broiler-feed
3/ 4/",1959/60,,,,,3.60,3.70,3.80,3.80,3.80,3.80,3.80,3.60,
,1960/61,3.40,3.30,3.50,3.50,3.60,3.80,3.50,3.20,2.90,2.70,2.60,2.70,3.23
,1961/62,2.50,2.60,2.70,3.30,3.50,3.60,3.50,3.10,3.10,3.10,3.20,3.30,3.13
,1962/63,3.50,3.20,3.00,3.00,3.20,3.40,3.40,3.40,3.30,3.20,3.20,3.10,3.24
,1963/64,3.00,3.10,3.20,2.90,3.10,3.10,3.10,3.00,3.00,3.10,3.30,3.30,3.10
,1964/65,3.20,3.20,3.20,3.00,3.20,3.30,3.40,3.30,3.40,3.40,3.40,3.30,3.28
,1965/66,3.20,3.10,3.20,3.20,3.60,3.50,3.70,3.40,3.60,3.50,3.40,3.20,3.38
,1966/67,3.00,2.70,2.80,2.50,2.90,3.20,3.00,3.00,2.80,2.90,3.10,2.80,2.89
,1967/68,2.70,2.70,2.60,2.70,3.00,3.20,3.20,3.20,3.30,3.40,3.50,3.40,3.08
,1968/69,3.20,2.90,3.10,3.00,3.20,3.40,3.40,3.30,3.40,3.50,3.80,3.60,3.32
,1969/70,3.40,3.30,3.20,3.00,3.20,3.00,3.10,2.90,2.90,2.90,2.80,2.70,3.03
,1970/71,2.50,2.60,2.40,2.80,2.60,2.80,2.70,2.70,2.90,3.00,3.20,2.90,2.76
,1971/72,2.90,2.70,2.70,2.50,2.80,3.10,3.00,2.70,2.80,3.00,3.20,3.00,2.87
,1972/73,3.10,2.90,2.70,2.60,2.90,3.10,3.50,3.90,3.30,2.90,3.40,4.00,3.19
,1973/74,3.50,2.90,2.50,2.30,2.50,2.80,2.70,2.70,2.70,2.50,2.60,2.30,2.67
,1974/75,2.60,2.50,2.60,2.40,2.70,2.90,2.90,2.80,3.10,3.40,3.70,3.60,2.93
,1975/76,3.60,3.50,3.40,2.90,3.10,3.20,3.10,3.00,3.10,2.80,2.80,2.70,3.10
,1976/77,2.50,2.40,2.30,2.30,2.50,2.70,2.70,2.60,2.60,2.70,3.00,2.90,2.60
,1977/78,3.10,3.00,2.70,2.60,2.80,3.00,3.00,3.30,3.30,3.50,3.70,3.10,3.09
,1978/79,3.10,2.90,2.80,2.90,3.10,3.30,3.10,3.00,3.20,2.90,2.50,2.30,2.93
,1979/80,2.40,2.20,2.60,2.60,2.80,2.60,2.50,2.30,2.50,2.60,3.30,3.00,2.62
,1980/81,2.90,2.80,2.50,2.50,2.60,2.60,2.60,2.30,2.40,2.60,2.60,2.50,2.58
,1981/82,2.40,2.40,2.40,2.30,2.60,2.60,2.60,2.50,2.60,2.70,2.60,2.50,2.52
,1982/83,2.60,2.50,2.50,2.50,2.60,2.70,2.40,2.30,2.40,2.60,2.80,2.80,2.56
,1983/84,2.70,2.50,2.80,2.90,4.20,4.50,4.30,3.80,3.70,3.70,4.20,3.90,3.60
,1984/85,4.30,4.10,4.50,4.40,4.50,4.60,4.30,4.10,4.40,4.70,4.70,4.80,4.45
,1985/86,5.20,5.10,5.50,5.10,5.10,4.80,4.90,4.90,5.20,5.90,7.60,8.30,5.63
,1986/87,7.50,8.50,7.30,6.30,6.40,6.30,6.00,5.80,5.60,5.00,5.20,6.30,6.35
,1987/88,5.50,4.90,4.90,4.30,4.60,4.30,4.40,4.40,4.90,4.50,4.70,4.90,4.69
,1988/89,4.70,4.50,4.50,4.50,4.30,4.40,4.90,5.00,5.80,5.60,5.30,5.40,4.91
,1989/90,5.70,4.90,4.70,4.40,4.70,5.30,5.60,4.90,5.10,5.00,5.30,4.80,5.03
