Table 20--U.S. corn and sorghum imports (bushels),,,,,,,,,,,,,,
Import and mkt yr 1/,,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Annual
Corn grain,1988/89,,,,,"307,023","178,260","420,381","633,060","162,021","33,363","223,459","93,469",
,1989/90,"38,078","307,119","297,019","98,067","247,828","92,762","182,222","162,070","275,032","33,491","135,597","32,720","1,902,006"
,1990/91,"29,118","172,220","683,773","90,489","100,811","83,751","80,937","214,595","487,548","155,046","423,345","893,816","3,415,448"
,1991/92,"1,100,354","2,251,767","3,128,935","1,420,521","1,404,407","1,579,933","1,962,895","2,193,891","1,247,071","1,380,817","1,390,021","576,112","19,636,725"
,1992/93,"221,471","296,504","739,778","541,980","241,471","255,908","629,207","555,199","814,925","691,647","978,610","1,124,329","7,091,030"
,1993/94,"626,777","1,022,455","3,559,780","3,358,367","1,942,517","2,652,844","3,127,232","1,745,743","1,401,306","639,210","363,591","375,230","20,815,051"
,1994/95,"232,309","628,235","1,199,480","1,346,024","1,216,978","1,176,476","1,342,250","1,135,248","525,646","336,586","183,055","234,511","9,556,798"
,1995/96,"318,102","1,323,427","2,006,345","1,801,397","1,492,328","1,668,394","2,270,362","1,548,220","1,202,937","962,927","855,008","1,036,853","16,486,299"
,1996/97,"1,404,494","643,995","1,389,335","776,086","607,483","966,255","1,288,352","1,532,430","897,883","1,434,669","1,135,099","1,185,389","13,261,470"
,1997/98,"1,372,285","247,052","585,543","315,009","361,385","309,372","915,226","2,074,720","616,565","669,443","805,504","537,609","8,809,714"
,1998/99,"502,848","1,175,555","2,346,203","1,527,655","2,021,878","2,166,683","3,939,874","2,555,019","740,067","542,149","588,706","699,153","18,805,789"
,1999/00,"568,403","1,488,967","1,489,763","1,270,553","705,852","1,426,171","2,142,019","2,297,016","1,076,936","1,064,312","898,979","315,387","14,744,358"
,2000/01,"270,813","408,804","612,022","315,680","366,907","228,359","1,265,321","1,402,982","454,430","479,414","401,524","617,251","6,823,505"
,2001/02,"483,159","1,195,423","769,935","562,556","628,529","492,956","1,203,647","2,095,200","853,663","809,785","767,034","277,843","10,139,730"
,2002/03,"332,934","1,166,455","1,929,425","1,211,048","1,302,291","1,546,756","1,937,233","2,566,145","648,430","515,362","587,565","702,911","14,446,553"
,2003/04,"611,717","820,036","1,029,687","982,981","1,496,462","1,043,522","1,857,319","2,144,053","1,121,251","1,217,543","909,629","842,169","14,076,367"
,2004/05,"531,881","398,817","704,035","523,418","612,739","567,987","1,385,918","1,713,392","906,990","826,287","829,283","1,829,008","10,829,756"
,2005/06,"762,970","732,067","618,499","468,533","359,744","406,887","2,137,589","1,581,165","418,245","694,387","328,592","297,238","8,805,915"
,2006/07,"242,139","479,573","431,151","523,614","552,213","608,527","2,246,950","2,607,439","621,346","1,137,884","1,785,953","745,906","11,982,695"
,2007/08,"854,256","595,563","734,654","659,014","923,664","1,235,797","3,873,306","3,445,290","2,392,927","2,447,810","1,937,859","920,362","20,020,501"
,2008/09,"574,782","796,720","1,443,349","1,240,994","1,632,505","1,234,189","2,614,112","1,832,405","674,288","672,875","486,483","327,060","13,529,763"
,2009/10,"297,375","272,271","409,889","399,057","469,987","449,680","983,024","1,550,931","597,807","851,723","854,373","1,207,095","8,343,211"
,2010/11,"1,270,195","1,277,994","2,773,222","2,692,871","2,725,591","3,045,325","3,969,135","4,640,222","1,774,745","1,831,863","485,347","1,182,791","27,669,302"
,2011/12,"546,166","1,210,313","2,298,259","1,480,516","1,083,298","1,370,472","3,771,521","3,827,948","3,074,381","3,449,121","2,850,023","4,411,166","29,373,182"
,2012/13,"1,290,139","13,061,540","20,433,653","14,540,928","15,565,385","15,320,821","10,118,165","16,221,983","13,839,328","17,995,531","10,641,361","10,916,812","159,945,644"
,2013/14,"9,268,895","2,175,358","3,080,605","1,669,637","2,694,674","2,202,701","3,253,885","3,226,324","2,103,256","2,005,508","2,309,329","1,803,609","35,793,781"
,2014/15,"2,109,980","1,407,730","1,486,009","1,906,381","1,755,234","2,267,145","3,319,481","3,106,362","3,536,606","3,538,993","2,823,192","4,388,820","31,645,933"
,2015/16,"2,297,334","2,286,550","8,304,384","7,412,403","6,060,347","4,224,180","8,120,205","6,923,005","5,584,067","6,645,783","3,440,000","6,266,688","67,564,946"
,2016/17,"4,890,471","2,697,418","6,682,974","2,608,948","6,202,465","2,978,341","5,357,050","5,841,234","6,147,268","5,228,986","4,637,715","3,795,247","57,068,117"
,2017/18,"4,965,108","3,641,492","2,187,363","1,867,756","4,260,924","2,538,538","2,389,769","3,445,621","1,757,430","2,284,488","2,971,071","4,018,008","36,327,569"
,2018/19,"1,961,296","3,175,603","1,058,368","3,136,697",,,,,,,,,"9,331,964"
,,,,,,,,,,,,,,
Corn total 2/,1988/89,,,,,"1,633,257","1,363,745","1,652,748","1,957,398","1,473,138","1,445,408","1,182,161","1,435,827",
,1989/90,"980,602","1,553,551","1,585,306","1,042,725","1,318,023","1,093,249","1,358,701","1,152,223","1,592,669","1,341,284","1,363,650","1,120,191","15,502,175"
,1990/91,"1,002,446","1,371,470","2,122,513","1,051,233","1,207,722","1,071,258","1,158,332","1,268,015","1,500,610","1,138,350","1,593,987","2,041,696","16,527,632"
,1991/92,"2,163,449","3,563,856","4,108,674","2,446,193","2,645,106","2,897,983","3,481,281","3,425,897","2,466,425","2,779,462","2,579,972","1,889,594","34,447,891"
,1992/93,"1,661,211","1,569,391","1,931,736","1,921,947","1,528,760","1,294,573","2,096,118","2,131,049","2,071,384","1,937,488","2,258,843","2,567,615","22,970,116"
,1993/94,"2,065,962","2,344,854","4,840,904","4,786,542","3,319,609","3,835,529","4,544,382","2,998,735","2,500,519","1,818,338","1,434,811","1,450,399","35,940,585"
,1994/95,"1,451,530","1,571,225","2,178,435","2,217,829","2,242,698","1,860,745","2,144,726","1,976,727","1,416,220","1,076,144","921,488","1,305,303","20,363,070"
,1995/96,"1,361,794","2,429,608","2,891,309","2,718,090","2,666,602","2,855,481","3,465,421","2,682,003","2,282,383","1,935,752","1,821,328","2,230,136","29,339,907"
,1996/97,"2,837,568","2,088,304","2,779,111","1,847,025","1,638,181","1,988,369","2,429,735","2,892,361","2,071,710","2,566,009","2,257,273","2,532,536","27,928,181"
,1997/98,"2,778,195","1,611,117","1,715,233","1,538,734","1,578,634","1,427,222","2,241,053","3,435,535","1,899,153","1,886,322","2,094,867","1,912,149","24,118,217"
,1998/99,"1,953,697","2,410,656","3,262,458","2,695,695","3,097,573","3,225,105","5,150,915","3,880,513","1,916,752","1,777,206","1,876,950","1,935,744","33,183,263"
,1999/00,"1,870,952","2,654,754","2,670,185","2,567,482","1,928,580","2,712,739","3,556,678","3,514,175","2,409,249","2,367,552","2,177,522","1,739,384","30,169,252"
,2000/01,"1,413,418","1,765,919","1,835,769","1,540,100","1,848,527","1,638,219","2,829,375","2,807,630","1,955,359","1,983,294","1,948,470","2,271,877","23,837,957"
,2001/02,"1,762,246","2,890,946","2,260,317","2,001,889","2,186,799","1,899,140","2,801,521","3,698,128","2,565,971","2,292,121","2,400,433","1,737,322","28,496,831"
,2002/03,"1,853,987","3,003,582","3,486,202","2,821,317","3,033,666","3,280,383","3,704,550","4,411,905","2,730,457","2,308,156","2,295,449","2,383,498","35,313,152"
,2003/04,"2,406,606","2,759,321","2,946,641","2,461,398","3,400,410","2,843,229","3,770,645","5,401,064","2,941,572","3,282,087","2,940,674","3,106,492","38,260,138"
,2004/05,"2,753,225","2,564,378","2,674,390","2,737,772","2,584,036","2,606,428","3,368,648","3,752,647","2,910,492","2,832,080","2,512,547","3,989,246","35,285,890"
,2005/06,"2,915,931","2,952,907","2,651,986","2,614,381","2,465,541","2,240,944","4,174,667","3,648,334","2,524,378","2,677,666","2,306,837","2,710,193","33,883,764"
,2006/07,"2,139,471","2,403,110","2,293,261","2,528,341","2,551,770","2,507,056","4,649,138","4,677,733","2,965,200","3,268,259","3,736,742","3,269,276","36,989,357"
,2007/08,"2,813,409","2,991,712","2,856,826","2,790,427","3,267,901","3,333,467","5,965,169","5,750,154","4,933,409","4,804,914","4,642,760","3,539,622","47,689,769"
,2008/09,"2,971,688","3,404,550","3,829,995","3,483,220","3,993,378","3,215,121","4,600,666","4,167,488","2,636,376","2,720,264","2,534,915","2,426,320","39,983,981"
,2009/10,"2,331,854","2,184,955","2,133,171","2,265,102","2,526,251","2,466,534","3,426,853","3,726,202","2,890,911","3,171,679","3,039,397","3,711,670","33,874,580"
,2010/11,"3,585,497","3,324,482","4,903,557","4,622,265","4,955,381","5,041,958","6,361,159","6,913,853","4,319,232","4,216,613","2,684,652","3,568,318","54,496,968"
,2011/12,"2,564,203","3,288,223","4,521,132","3,592,542","3,538,871","3,576,891","6,149,128","6,236,423","5,651,780","5,696,960","5,585,189","6,770,291","57,171,632"
,2012/13,"3,467,872","16,002,954","22,693,378","16,789,869","18,430,232","17,568,873","12,798,327","19,267,274","16,571,453","20,664,878","13,503,773","14,141,613","191,900,495"
,2013/14,"11,674,450","4,757,318","5,246,124","3,904,715","5,333,703","5,470,129","6,160,781","6,104,972","5,586,238","4,847,384","4,955,477","4,482,941","68,524,232"
,2014/15,"5,131,490","4,466,828","4,045,817","5,088,953","4,544,861","4,972,455","6,202,398","6,088,217","7,505,200","7,352,059","6,718,801","7,481,822","69,598,902"
,2015/16,"5,329,984","5,298,003","11,295,669","10,368,129","10,229,565","7,155,981","11,377,810","10,032,768","8,698,700","9,889,459","6,392,031","9,398,521","105,466,621"
,2016/17,"7,882,020","5,653,393","9,871,203","6,051,871","9,339,375","5,747,657","8,690,163","8,781,677","9,277,971","8,407,876","8,992,020","6,887,649","95,582,873"
,2017/18,"9,143,417","6,802,996","6,568,187","4,670,424","8,268,454","5,223,467","8,413,307","7,906,326","6,115,090","7,107,223","7,166,545","7,948,048","85,333,483"
,2018/19,"6,107,706","7,551,246","4,578,898","7,190,145",,,,,,,,,"25,427,995"
,,,,,,,,,,,,,,
Sorghum total 3/,1988/89,,,,,,"15,130",,5,,14,,,
,1989/90,,,,,,,"74,979",826,"42,236","23,864","75,398","8,410","225,713"
,1990/91,"5,551",,60,,,,"60,462",167,12,,679,"1,319","68,249"
,1991/92,,,,118,,,393,,225,"4,565","1,567",394,"7,262"
,1992/93,,,,,,"4,650",,148,876,"6,736",,,"12,410"
,1993/94,,,,"2,859",14,"3,819",,,94,866,118,,"7,769"
,1994/95,,,,,,,186,"3,211",964,,"2,568",433,"7,363"
,1995/96,591,,,,,289,387,"10,329",50,54,,"2,605","14,304"
,1996/97,,,179,"3,476",,865,776,"14,477","10,156","1,748","1,824",709,"34,210"
,1997/98,,395,,709,683,229,28,840,"4,723","3,061",,,"10,668"
,1998/99,,"6,850","2,756","1,294",,,,937,,779,709,,"13,325"
,1999/00,,"1,125","1,688",,,,,,350,,,,"3,163"
,2000/01,,0,,,,,,"1,909",,,,,"1,909"
,2001/02,0,,,,,,,,,95,87,,182
,2002/03,,26,,21,,,"21,846",,76,213,,250,"22,432"
,2003/04,786,,12,,,,,49,,,,,847
,2004/05,,496,,,829,,"14,737","6,955",53,"1,188",,787,"25,045"
,2005/06,,,,,107,787,"1,417",,,,,,"2,312"
,2006/07,168,,,68,354,"35,390",,16,,,571,"39,165","75,732"
,2007/08,"10,968","7,874","4,625",,898,,"3,367","2,073",180,685,118,"7,874","38,662"
,2008/09,"12,590","15,747","83,786","15,747","3,937",169,,438,14,,,,"132,428"
,2009/10,,,,865,,"3,817",79,56,433,13,,129,"5,391"
,2010/11,179,"7,583",,,"18,662","1,031","1,385",59,250,,,567,"29,716"
,2011/12,71,670,143,"11,960","9,755","25,762","16,712","7,704","26,794","4,799",247,772,"105,390"
,2012/13,"2,078","1,082,687","2,777",806,"7,717","49,351","1,084,410","1,625,899","2,810,863","1,615,920","1,289,446",586,"9,572,538"
,2013/14,"1,567","4,630",,,"5,440","3,822",144,"4,284","1,480","20,839","25,463","22,005","89,675"
,2014/15,"44,810","76,214","92,776","110,137","5,164","3,197","1,302",374,"2,056","38,503","1,437",,"375,971"
,2015/16,"723,195","1,051,571","1,825,720","970,343","1,679","5,378",348,483,"3,835","2,981","1,518",357,"4,587,407"
,2016/17,107,654,"1,785",679,"2,063",,,"1,481","2,532","1,872","1,728,795",607,"1,740,576"
,2017/18,"8,569","1,900,810",127,"4,439","8,548","40,914","4,415",51,"5,055","43,150","1,446",86,"2,017,609"
,2018/19,1,,"2,805","1,297",,,,,,,,,"4,102"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1/ September-August.
2/ Includes whole grain (white, yellow, seed, relief), dry-processed corn (cornmeal for relief, as grain, grits), and wet-processed corn (corn starch, sugar dextrose, ",,,,,,,,,,,,,,
"glucose, high fructose).
3/ Includes seed and unmilled.
Source: U.S. Department of Commerce, Bureau of the Census, Foreign Trade Statistics; and ERS calculations using Census trade statistics.",,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,
