"Table 25--U.S. barley and oats imports by selected sources (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import and country/region 1/,,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Malting barley 2/,Canada,274,212,320,150,453,715,740,608,733,567,543,585,488,317,320,183,88,232,551,573,317,175,264,342,242,334,285,102,87
,European Union-27,1,1,0,0,0,0,0,,0,0,,1,0,26,52,1,1,0,3,1,0,0,0,0,,28,0,17,1
,China (Mainland),,,0,0,0,,,,,,,,0,,,0,0,0,0,0,,,,,,,,,0
,Argentina,,0,,,,,,,,,,,,17,27,21,,,,,,,,,,,0,,
,El Salvador,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,
,Former Soviet Union-12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,Hong Kong,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mexico,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,South Korea,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,Sub-Saharan Africa,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Thailand,0,,0,,,,,,,,,,,,,,,,,,,0,,,,0,0,,
,Uruguay,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Total 3/,274,213,320,151,453,716,740,608,733,567,543,585,489,360,399,205,89,232,554,574,317,175,264,342,242,362,285,119,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other barley 4/,Canada,10,47,160,97,"1,098",702,141,192,112,81,60,51,32,42,50,59,28,31,82,58,31,31,89,161,162,147,116,89,109
,Uruguay,,,,,,,,,,,,,,,,,,,0,,,,0,1,,1,,,0
,China (Mainland),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
,Thailand,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0
,European Union-27,0,24,54,0,5,16,5,0,32,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,3,1,0
,Peru,,,0,,0,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
,Former Soviet Union-12,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
,El Salvador,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ecuador,,,,,,,,,0,,,0,,,,,0,,,,,,,,,,,,0
,Israel,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,,,0
,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
,Argentina,0,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,
,Australia (No Islands),,9,,,0,,,,,,,,,,0,,,,,,,,,,,,,,
,Chile,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,,
,China (Taiwan),,,,,,0,0,,,,,,0,,,,,,,,,,,,0,,,,
,Egypt,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,
,Hong Kong,0,0,0,0,,0,0,0,0,,,0,,,,0,0,,0,0,0,0,,,0,0,0,,
,India,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,,
,Japan,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,0,,0,,0,,0,,0,,
,Mexico,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
,Morocco,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,"New Zealand, No Islands",0,0,,,,,,,,,,,,,0,,0,0,0,,,0,,,,0,,,
,Other Europe,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,Sub-Saharan Africa,,,,,,,,,,0,,,,,,0,,0,0,,,,0,0,0,0,0,0,
,Turkey,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,
,Vietnam,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
,Total 3/,10,81,214,97,"1,103",719,147,192,143,81,60,51,32,42,50,59,28,31,82,58,44,32,90,165,166,152,119,90,110
