"Table 34--U.S. exports of brewers' and distillers' dregs and waste by selected destinations (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/region 1/,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Mexico,1.95,5.00,12.44,20.24,40.82,26.71,4.33,8.43,11.93,17.68,28.82,41.11,27.90,41.33,59.37,92.50,280.60,607.85,"1,000.94","1,387.31","1,613.18","1,823.37","1,538.72","1,273.05","1,495.98","1,591.54","1,900.98","2,063.79","2,126.75"
South Korea,0.06,,,0.49,1.86,,14.40,,,,,,0.01,0.05,0.11,2.11,11.50,87.73,175.52,278.87,351.44,385.23,377.24,376.50,519.27,620.87,822.55,968.19,"1,184.19"
Turkey,,,,,,,,,,,,,,,,0.22,0.42,17.60,403.13,380.18,552.75,41.07,121.63,298.11,248.67,344.15,695.54,"1,364.62","1,170.60"
Vietnam,,,,,,,,,,,,,,,0.63,13.09,12.65,47.99,101.33,184.06,382.93,455.82,456.41,375.01,507.80,552.18,985.12,492.84,"1,048.40"
Thailand,,,,,,,,,,,0.06,,,0.06,0.01,5.10,26.29,50.56,130.35,270.46,283.10,268.64,178.71,251.44,284.79,405.42,582.25,786.94,964.23
Indonesia,,,,,0.25,,,,,,,,,,3.16,36.74,45.86,63.79,90.62,184.25,238.00,249.02,180.09,209.10,283.63,230.85,330.84,512.98,816.37
European Union-27,345.57,177.12,114.13,88.19,118.61,684.73,587.35,645.63,570.11,682.94,684.35,651.42,725.39,630.45,581.02,563.88,480.55,203.71,167.99,117.04,265.12,722.93,138.30,285.52,381.99,472.04,651.37,902.45,792.88
Canada,7.69,11.10,15.33,16.00,14.68,16.12,11.48,16.75,14.25,18.52,13.61,26.33,26.86,32.93,46.69,116.63,113.90,190.37,683.36,713.55,"1,077.59",882.16,647.18,524.15,330.25,548.37,548.72,669.27,653.72
Japan,10.54,,0.76,0.22,1.25,1.54,0.02,,5.01,0.88,1.47,0.03,0.04,0.02,,0.29,29.04,78.52,151.24,210.52,229.00,285.48,337.55,399.08,458.76,295.13,295.28,427.28,463.02
Israel,,0.72,,,,9.10,28.27,,,,2.79,,,6.03,6.35,45.69,8.61,40.26,167.38,176.98,136.75,204.01,144.59,197.35,150.82,103.12,202.47,240.47,290.26
Egypt,,,,,,,,,,,,,,,,,,,31.31,67.84,73.31,127.81,94.00,113.06,147.63,125.30,84.28,148.76,245.53
"New Zealand, No Islands",,,,,,,,,,,,,,,,,,,0.48,0.89,,,0.02,,44.40,49.13,32.65,151.08,227.07
China (Taiwan),3.30,1.34,2.22,2.29,,,0.07,0.04,0.49,0.06,0.08,,,,3.73,29.23,73.13,126.27,172.53,178.73,149.58,191.52,240.07,227.11,243.63,204.11,209.56,262.39,220.82
Morocco,,,,,,,,,,,,,,,,,20.25,37.32,68.71,74.45,102.77,187.27,136.45,115.83,92.42,100.79,143.04,214.22,211.59
Colombia,,,,,,,,,,,26.72,44.48,48.14,17.44,3.85,2.57,1.23,11.57,35.37,38.15,95.85,86.00,61.42,105.84,129.78,111.93,163.75,209.01,202.32
Philippines,,0.03,,,,,,,,,,,0.05,,0.38,5.37,49.21,67.35,95.90,127.62,87.77,142.16,146.27,107.83,95.75,106.79,144.38,151.51,168.51
China (Mainland),,,,,0.50,,,0.06,,,,,,0.02,0.04,0.05,,1.15,4.59,98.08,"2,176.53","1,588.06","2,227.62","2,793.12","6,183.14","5,366.09","3,342.08",735.14,168.41
Bangladesh,,,,,,,0.12,,,,,,,,,,1.30,3.85,0.75,1.33,6.05,6.66,3.89,13.23,15.93,12.04,27.27,86.82,148.81
Costa Rica,,,,,,,,,,,,,16.95,11.16,3.73,2.88,7.95,9.11,69.36,102.09,82.29,95.72,80.23,71.73,75.36,78.48,93.51,82.72,84.53
Malaysia,,,,0.05,,,,,,,,,,,7.10,24.61,33.68,32.14,53.69,47.01,31.94,60.16,52.84,59.26,42.49,39.13,42.18,82.10,66.96
El Salvador,,,,,,,,,,,,,,0.57,,0.13,2.45,,25.58,26.37,37.10,54.51,40.93,45.80,52.89,49.62,66.43,62.68,63.42
Cambodia,,,,,,,,,,,,,,,,,,,,,3.59,5.25,10.07,20.04,18.45,23.75,26.93,48.62,57.46
Myanmar (Burma),,,,,,,,,,,,,,,,,,,,,,,,,0.32,3.29,14.07,35.88,52.07
Honduras,,,,,,,,,,,0.91,,,1.39,5.40,6.48,8.33,4.25,21.87,32.71,27.53,38.59,41.41,34.75,34.29,39.02,43.51,43.24,51.67
Guatemala,,,,,,,,,,,,6.91,6.22,9.59,7.39,4.00,4.97,,31.49,41.33,61.90,85.73,75.75,65.34,49.67,46.42,48.09,55.71,48.84
Peru,,,,,,,,,0.37,,,,,,,,,10.13,0.14,,,16.95,10.82,14.25,22.79,14.66,,31.63,25.21
Sri Lanka,,,,,,0.24,,0.09,,,,,,,,,,0.02,,0.79,0.76,0.43,,0.10,1.49,2.87,4.54,23.42,22.85
Tunisia,,,,,,,,,,,,,,,,,0.05,,4.17,,,12.32,,11.95,,4.75,14.08,10.31,22.00
Jamaica,,,,,,,,,,,4.91,,,,1.49,0.77,,7.69,10.15,12.74,7.50,11.88,13.68,17.55,22.16,11.10,15.10,14.44,19.81
Panama,,,,0.05,,,,,,0.04,,,0.22,1.03,1.18,,2.65,3.68,17.35,19.83,15.22,10.20,17.12,12.07,11.61,15.35,15.85,16.49,19.68
Ecuador,,,,,,,,,,,,,,,,,2.50,,,0.03,0.43,,,13.25,0.97,11.49,5.60,12.48,19.33
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,24.14,3.72,8.42,,,48.60,13.32
Hong Kong,,0.39,,,,,,,,,0.09,,,,,,0.17,0.58,0.23,0.06,0.03,0.52,0.38,2.51,3.08,1.27,0.49,0.91,2.69
Nicaragua,,,,,,,,,,,,,,,0.86,,,,3.92,3.88,6.46,12.45,6.85,7.78,4.33,5.08,12.25,14.98,2.43
Haiti,,,,,,,,,,,,,,,,,,,,,,,0.30,0.25,0.70,0.80,1.28,3.37,1.85
India,,,,,,,,,1.05,,,,,,,,0.38,,0.72,0.52,0.37,,,,,,1.13,0.81,1.60
Oman,,,,,,,,,,,,,,,,,,,0.74,0.51,0.02,,1.02,2.06,4.08,0.10,,2.30,0.98
Kuwait,,,,,,,,,,,,,,,,,,,,,,0.07,0.05,0.48,,0.16,0.21,0.36,0.91
Dominican Republic,,,0.07,,,,,,,,,,,,,0.15,,,5.43,8.83,11.67,8.02,0.65,1.14,1.62,0.21,2.85,2.43,0.83
Brunei,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,0.11,0.68,0.83
Singapore,,,,,,,,,,,,,,,,0.16,0.15,0.30,,0.10,0.54,2.28,1.44,0.36,,,0.20,3.45,0.74
Pakistan,,,,,,0.12,0.12,0.12,,,,,,,,,,,,,,,0.05,,1.17,5.21,61.10,48.40,0.42
Lebanon,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,0.21
Jordan,,,,,,,,,,,,,,,,,,,,,0.03,3.14,5.82,27.69,0.52,,0.40,0.62,0.20
United Arab Emirates,,,,,,,,,,,,,,0.08,,,,,,,,,3.47,20.00,4.04,1.09,0.52,4.93,0.18
Other Europe,,,,,,,,,,,,12.20,,,,,0.01,0.29,3.01,1.03,0.20,,0.45,,,,,0.02,0.04
Algeria,,,,,,,,,,,,,,,,,,,0.05,,,,,,6.70,,,,
Australia (No Islands),,,,,1.17,,,,,,0.01,,0.03,,,,,,0.10,0.05,,,,,,,,,
Bahamas,0.10,0.14,0.20,0.22,,0.12,,,,,,,0.03,,,,,,,,0.40,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,
Belize,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,
Brazil,,,,,0.23,0.60,,,0.01,,,,,,,,,,,,0.28,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
Chile,,,,,,,,,,,,,0.03,,3.65,3.61,,30.99,70.48,33.30,62.93,81.66,32.45,6.31,4.72,25.93,,18.51,
Cuba,,,,,,,,,,,,,,,,,10.04,40.65,112.49,146.47,98.07,121.11,125.83,68.82,16.65,,,,
Former Soviet Union-12,,,,,,0.43,0.09,,,,,,,,,,,,,,6.69,0.12,,0.47,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
Libya,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,
Macao (Macau),,,,,,,,,,,,,,,,,,,,,,,,0.84,,7.25,,,
Mongolia,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,
Netherlands Antilles,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,0.04,,,,,,,,,,,0.18,2.51,1.35,,,,
St. Kitts-Nevis,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,
St. Lucia,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,1.02,,0.55,1.58,,,,,0.09,,0.55,1.14,4.17,0.77,0.20,0.47,,0.67,0.18,,,0.63,0.05,
Syria,,,,,,,,,,,,,,,,,,,7.13,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,
Turks And Caicos Islands,,,0.34,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,18.85,7.28,,,,,,
Venezuela,,,,0.15,,,,,,,9.24,,4.02,,1.73,10.58,,,,,,,,5.50,,,,,
Total 2/,369.42,195.84,145.49,128.18,179.37,740.72,646.23,671.66,604.80,720.12,773.06,782.50,855.89,752.24,737.87,967.39,"1,229.34","1,779.88","3,920.66","4,968.59","8,278.87","8,287.15","7,584.71","8,182.00","12,004.48","11,626.89","11,633.15","11,058.21","11,684.51"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/  Market year is September-August.
2/ May not add due to rounding.
Source: U.S. Department of Commerce, Bureau of the Census, Foreign Trade Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
