Table 2 -- Foreign coarse grains: Supply and disappearance (million metric tons),,,,,,,,,,,,,
Commodity and mkt yr 1/,,Supply,,,,,,Disappearance,,,,,
,,Beginning Stocks,Production,Imports 2/,,Total supply 3/,,"Food, alcohol, and industrial use",Feed use,Domestic disappearance 4/,Exports 2/,Total disappearance 3/,Ending Stocks
Corn,1960/61,11,100,13,,124,,55,52,109,7,116,9
,1961/62,9,116,17,,143,,64,55,122,10,131,14
,1962/63,14,116,20,,150,,68,58,126,10,136,14
,1963/64,14,115,22,,151,,64,63,127,10,137,14
,1964/65,14,127,21,,162,,67,71,141,10,151,14
,1965/66,14,121,25,,161,,68,69,140,11,151,12
,1966/67,12,144,25,,182,,73,76,151,15,165,18
,1967/68,18,139,28,,185,,73,81,155,14,169,17
,1968/69,17,139,28,,185,,74,82,155,14,168,15
,1969/70,15,151,28,,194,,79,84,166,16,182,16
,1970/71,16,163,28,,206,,86,82,172,19,191,19
,1971/72,19,165,33,,217,,86,95,184,16,200,20
,1972/73,20,160,38,,218,,87,102,192,9,201,20
,1973/74,20,186,45,,251,,95,113,211,16,228,26
,1974/75,26,180,40,,247,,96,106,204,13,217,32
,1975/76,32,191,52,,275,,103,122,228,13,241,36
,1976/77,36,196,53,,286,,111,121,235,14,249,39
,1977/78,39,200,58,,298,,112,132,247,13,260,41
,1978/79,41,208,65,,313,,115,138,254,12,266,48
,1979/80,48,224,75,,348,,115,161,274,11,285,59
,1980/81,59,240,74,,374,,116,171,294,20,313,67
,1981/82,67,236,72,,375,,117,178,291,17,308,63
,1982/83,63,231,67,,360,,109,177,279,13,293,60
,1983/84,60,242,58,,361,,112,173,287,13,300,63
,1984/85,63,263,66,,393,,112,185,298,20,318,76
,1985/86,76,253,53,,383,,104,180,286,24,310,75
,1986/87,75,266,52,,394,,110,186,298,17,316,81
,1987/88,81,270,57,,408,,108,195,304,16,320,89
,1988/89,89,275,66,,431,,111,207,320,17,337,96
,1989/90,96,270,74,,440,,116,213,328,12,340,99
,1990/91,99,280,58,,437,,119,201,320,15,334,103
,1991/92,103,303,63,,468,,121,212,332,22,354,113
,1992/93,111,295,60,,466,,121,215,339,21,360,109
,1993/94,109,315,56,,480,,124,223,349,25,374,108
,1994/95,108,304,69,,481,,123,233,353,11,364,114
,1995/96,114,329,65,,508,,125,246,376,14,390,122
,1996/97,122,358,65,,545,,128,254,382,20,402,144
,1997/98,144,340,63,,547,,126,262,388,25,413,134
,1998/99,134,358,66,,558,,130,266,396,17,412,146
,1999/00,146,369,70,,585,,129,279,413,26,439,151
,2000/01,151,340,75,,565,,132,279,413,27,440,127
,2001/02,127,360,71,,559,,134,288,425,26,451,111
,2002/03,111,376,75,,563,,134,293,428,36,464,99
,2003/04,99,372,77,,548,,139,299,438,29,467,80
,2004/05,80,417,76,,573,,144,320,466,31,497,77
,2005/06,77,418,80,,575,,151,324,476,27,503,73
,2006/07,73,448,90,,612,,156,339,500,40,540,76
,2007/08,76,467,98,,641,,162,357,520,37,557,84
,2008/09,84,500,82,,667,,173,364,538,37,574,94
,2009/10,94,502,90,,686,,176,375,557,46,604,88
,2010/11,88,534,93,,715,,187,396,581,45,626,87
,2011/12,87,597,100,,783,,196,411,624,78,701,98
,2012/13,98,625,96,,819,,199,419,614,77,691,124
,2013/14,124,675,124,,922,,207,449,663,83,746,183
,2014/15,183,696,124,,"1,003",,215,458,690,95,785,235
,2015/16,235,668,137,,"1,040",,218,484,682,72,754,267
,2016/17,267,739,134,,"1,140",,229,517,770,102,872,292
,2017/18,292,705,149,,"1,147",,238,537,772,85,856,287
,2018/19,287,735,160,,"1,181",,247,566,819,107,926,262
,,,,,,,,,,,,,
Sorghum,1960/61,4,25,2,,32,,22,5,27,1,28,4
,1961/62,4,26,3,,33,,22,5,28,1,29,5
,1962/63,5,29,4,,37,,25,5,30,1,31,6
,1963/64,6,29,4,,39,,24,8,32,1,33,6
,1964/65,6,29,4,,39,,24,9,33,1,34,6
,1965/66,6,29,6,,41,,24,11,37,2,39,5
,1966/67,5,31,9,,44,,24,13,35,1,36,7
,1967/68,7,34,6,,47,,26,12,38,2,39,8
,1968/69,8,33,4,,45,,25,11,37,2,39,6
