Table 4--Corn: Supply and disappearance (million bushels),,,,,,,,,,,,
Mkt year and qtr 1/,,Supply,,,,Disappearance,,,,,,
,,,,,,Domestic use,,,,,,
,,Beginning stocks,Production,Imports,Total supply 2/,"Food, alcohol, and industrial use",Seed use,Feed and residual use,Total domestic use 2/,Exports,Total disappearance 2/,Ending stocks
1975/76,Q1 Sep-Nov,558,"5,841",0.24,"6,399",124,,928,"1,051",373,"1,424","4,975"
,Q2 Dec-Feb,"4,975",,0.60,"4,975",114,,"1,060","1,175",427,"1,602","3,374"
,Q3 Mar-May,"3,374",,0.21,"3,374",130,16.10,913,"1,059",446,"1,505","1,869"
,Q4 Jun-Aug,"1,869",,0.46,"1,869",133,4.00,681,818,418,"1,236",633
,MY Sep-Aug,558,"5,841",1.50,"6,400",501,20.10,"3,582","4,103","1,664","5,767",633
,,,,,,,,,,,,
1976/77,Q1 Sep-Nov,633,"6,289",0.49,"6,923",130,,937,"1,067",469,"1,536","5,387"
,Q2 Dec-Feb,"5,387",,0.39,"5,388",118,,"1,039","1,157",383,"1,539","3,848"
,Q3 Mar-May,"3,848",,0.53,"3,849",132,16.10,900,"1,048",431,"1,479","2,370"
,Q4 Jun-Aug,"2,370",,1.02,"2,371",142,4.00,727,873,363,"1,235","1,136"
,MY Sep-Aug,633,"6,289",2.43,"6,925",522,20.10,"3,602","4,144","1,645","5,789","1,136"
,,,,,,,,,,,,
1977/78,Q1 Sep-Nov,"1,136","6,505",0.64,"7,641",139,,"1,017","1,155",399,"1,555","6,087"
,Q2 Dec-Feb,"6,087",,0.66,"6,087",129,,"1,069","1,198",408,"1,606","4,482"
,Q3 Mar-May,"4,482",,0.53,"4,482",142,15.60,939,"1,097",524,"1,621","2,861"
,Q4 Jun-Aug,"2,861",,0.57,"2,862",152,3.90,704,861,565,"1,426","1,436"
,MY Sep-Aug,"1,136","6,505",2.40,"7,643",562,19.50,"3,730","4,311","1,896","6,207","1,436"
,,,,,,,,,,,,
1978/79,Q1 Sep-Nov,"1,436","7,268",0.14,"8,704",147,,"1,160","1,307",469,"1,776","6,928"
,Q2 Dec-Feb,"6,928",,0.30,"6,929",135,,"1,229","1,364",413,"1,777","5,151"
,Q3 Mar-May,"5,151",,0.30,"5,151",158,15.60,"1,136","1,310",555,"1,864","3,287"
,Q4 Jun-Aug,"3,287",,0.42,"3,288",149,3.90,749,902,676,"1,578","1,710"
,MY Sep-Aug,"1,436","7,268",1.15,"8,705",589,19.50,"4,274","4,882","2,113","6,995","1,710"
,,,,,,,,,,,,
1979/80,Q1 Sep-Nov,"1,710","7,928",0.22,"9,638",152,,"1,271","1,422",621,"2,044","7,594"
,Q2 Dec-Feb,"7,594",,0.17,"7,594",140,,"1,299","1,440",598,"2,037","5,557"
,Q3 Mar-May,"5,557",,0.20,"5,557",160,16.00,"1,150","1,325",588,"1,913","3,644"
,Q4 Jun-Aug,"3,644",,0.14,"3,644",168,4.00,843,"1,015",595,"1,610","2,034"
,MY Sep-Aug,"1,710","7,928",0.72,"9,638",620,20.00,"4,563","5,203","2,402","7,604","2,034"
,,,,,,,,,,,,
1980/81,Q1 Sep-Nov,"2,034","6,639",0.29,"8,674",155,,"1,236","1,390",688,"2,078","6,596"
,Q2 Dec-Feb,"6,596",,0.00,"6,596",145,,"1,143","1,288",646,"1,934","4,662"
,Q3 Mar-May,"4,662",,0.05,"4,662",166,16.20,"1,092","1,275",614,"1,889","2,774"
,Q4 Jun-Aug,"2,774",,0.51,"2,774",173,4.00,761,939,443,"1,382","1,392"
,MY Sep-Aug,"2,034","6,639",0.85,"8,675",639,20.20,"4,232","4,891","2,391","7,282","1,392"
,,,,,,,,,,,,
1981/82,Q1 Sep-Nov,"1,392","8,119",0.11,"9,511",173,,"1,217","1,391",519,"1,910","7,601"
,Q2 Dec-Feb,"7,601",,0.16,"7,601",165,,"1,199","1,365",470,"1,835","5,766"
,Q3 Mar-May,"5,766",,0.04,"5,766",185,16.00,"1,089","1,291",596,"1,886","3,880"
,Q4 Jun-Aug,"3,880",,0.25,"3,880",190,3.40,739,932,412,"1,344","2,537"
,MY Sep-Aug,"1,392","8,119",0.56,"9,511",714,19.40,"4,245","4,978","1,997","6,975","2,537"
,,,,,,,,,,,,
1982/83,Q1 Sep-Nov,"2,537","8,235",0.25,"10,772",208,,"1,215","1,423",443,"1,866","8,906"
,Q2 Dec-Feb,"8,906",,0.06,"8,906",192,,"1,305","1,498",510,"2,007","6,899"
,Q3 Mar-May,"6,899",,0.09,"6,899",216,11.60,"1,272","1,500",475,"1,975","4,924"
,Q4 Jun-Aug,"4,924",,0.10,"4,924",224,2.90,781,"1,008",393,"1,401","3,523"
,MY Sep-Aug,"2,537","8,235",0.49,"10,772",840,14.50,"4,573","5,428","1,821","7,249","3,523"
,,,,,,,,,,,,
1983/84,Q1 Sep-Nov,"3,523","4,174",0.40,"7,698",227,,"1,325","1,553",493,"2,046","5,652"
,Q2 Dec-Feb,"5,652",,0.31,"5,652",212,,"1,069","1,281",506,"1,787","3,865"
,Q3 Mar-May,"3,865",,0.49,"3,865",236,16.80,954,"1,207",513,"1,720","2,145"
,Q4 Jun-Aug,"2,145",,0.51,"2,146",236,2.30,528,766,374,"1,139","1,006"
,MY Sep-Aug,"3,523","4,174",1.71,"7,699",911,19.10,"3,876","4,806","1,886","6,693","1,006"
,,,,,,,,,,,,
1984/85,Q1 Sep-Nov,"1,006","7,672",0.72,"8,679",244,,"1,301","1,545",503,"2,048","6,631"
,Q2 Dec-Feb,"6,631",,0.08,"6,631",236,,"1,191","1,428",580,"2,008","4,623"
,Q3 Mar-May,"4,623",,0.85,"4,624",277,17.00,"1,019","1,314",475,"1,789","2,836"
,Q4 Jun-Aug,"2,836",,0.08,"2,836",288,4.20,603,896,292,"1,187","1,648"
,MY Sep-Aug,"1,006","7,672",1.73,"8,680","1,046",21.20,"4,115","5,182","1,850","7,032","1,648"
,,,,,,,,,,,,
1985/86,Q1 Sep-Nov,"1,648","8,875",0.86,"10,525",276,,"1,219","1,495",415,"1,910","8,615"
,Q2 Dec-Feb,"8,615",,0.95,"8,616",262,,"1,306","1,568",460,"2,029","6,587"
,Q3 Mar-May,"6,587",,2.21,"6,589",291,16.10,"1,091","1,398",201,"1,599","4,990"
,Q4 Jun-Aug,"4,990",,5.88,"4,996",303,3.40,499,805,151,956,"4,040"
,MY Sep-Aug,"1,648","8,875",9.90,"10,534","1,133",19.50,"4,114","5,267","1,227","6,494","4,040"
,,,,,,,,,,,,
1986/87,Q1 Sep-Nov,"4,040","8,226",0.71,"12,266",294,,"1,348","1,642",318,"1,960","10,305"
,Q2 Dec-Feb,"10,305",,0.17,"10,306",281,,"1,463","1,745",313,"2,057","8,248"
,Q3 Mar-May,"8,248",,0.45,"8,249",316,16.40,"1,088","1,420",496,"1,916","6,332"
,Q4 Jun-Aug,"6,332",,0.43,"6,333",325,0.30,761,"1,086",365,"1,451","4,882"
,MY Sep-Aug,"4,040","8,226",1.76,"12,267","1,217",16.70,"4,659","5,893","1,492","7,385","4,882"
,,,,,,,,,,,,
1987/88,Q1 Sep-Nov,"4,882","7,131",0.56,"12,014",296,,"1,551","1,847",396,"2,243","9,771"
,Q2 Dec-Feb,"9,771",,0.71,"9,772",288,,"1,444","1,731",405,"2,136","7,636"
,Q3 Mar-May,"7,636",,1.37,"7,637",320,16.70,951,"1,288",510,"1,798","5,839"
,Q4 Jun-Aug,"5,839",,0.77,"5,840",331,0.50,843,"1,174",406,"1,581","4,259"
,MY Sep-Aug,"4,882","7,131",3.41,"12,016","1,234",17.20,"4,789","6,041","1,716","7,757","4,259"
,,,,,,,,,,,,
1988/89,Q1 Sep-Nov,"4,259","4,929",0.63,"9,188",302,,"1,344","1,646",471,"2,117","7,072"
,Q2 Dec-Feb,"7,072",,0.59,"7,072",301,,"1,064","1,366",503,"1,868","5,204"
,Q3 Mar-May,"5,204",,1.22,"5,205",336,16.70,841,"1,194",592,"1,786","3,419"
