Table 7--Oats: Supply and disappearance (million bushels),,,,,,,,,,,,
Mkt year and qtr 1/,,Supply,,,,Disappearance,,,,,,
,,,,,,Domestic use,,,,,,
,,Beginning stocks,Production,Imports,Total supply 2/,"Food, alcohol, and industrial use",Seed use,Feed and residual use,Total domestic use 2/,Exports,Total disappearance 2/,Ending stocks
1975/76,Q1 Jun-Aug,224,639,0.25,863,11,,172,184,0.42,184,679
,Q2 Sep-Nov,679,,0.03,679,11,4.84,125,141,7.07,148,532
,Q3 Dec-Feb,532,,0.17,532,11,1.21,138,150,2.71,153,379
,Q4 Mar-May,379,,0.06,379,11,34.26,127,172,2.08,174,205
,MY Jun-May,224,639,0.51,863,44,40.30,562,646,12.28,659,205
,,,,,,,,,,,,
1976/77,Q1 Jun-Aug,205,540,0.09,745,11,,147,158,2.67,161,585
,Q2 Sep-Nov,585,,0.05,585,11,5.24,117,133,4.64,137,448
,Q3 Dec-Feb,448,,0.40,448,10,1.31,123,134,0.72,135,313
,Q4 Mar-May,313,,0.83,314,11,37.15,101,149,0.26,149,164
,MY Jun-May,205,540,1.37,747,42,43.70,488,574,8.30,582,164
,,,,,,,,,,,,
1977/78,Q1 Jun-Aug,164,753,0.94,918,11,,167,178,1.96,180,738
,Q2 Sep-Nov,738,,0.39,739,11,4.72,116,132,4.10,136,603
,Q3 Dec-Feb,603,,0.43,603,10,1.18,116,127,2.98,130,473
,Q4 Mar-May,473,,0.33,474,10,33.41,116,160,0.96,161,313
,MY Jun-May,164,753,2.09,919,42,39.30,515,596,10.00,606,313
,,,,,,,,,,,,
1978/79,Q1 Jun-Aug,313,582,0.19,895,11,,171,182,7.03,189,706
,Q2 Sep-Nov,706,,0.08,706,10,4.06,112,126,1.68,128,578
,Q3 Dec-Feb,578,,0.16,578,10,1.01,125,137,1.30,138,440
,Q4 Mar-May,440,,0.20,440,9,28.73,122,160,0.33,160,280
,MY Jun-May,313,582,0.63,895,41,33.80,530,605,10.34,615,280
,,,,,,,,,,,,
1979/80,Q1 Jun-Aug,280,527,0.20,807,11,,168,179,0.27,180,627
,Q2 Sep-Nov,627,,0.18,627,10,3.88,107,121,1.11,122,505
,Q3 Dec-Feb,505,,0.15,505,10,0.97,106,117,0.76,118,388
,Q4 Mar-May,388,,0.25,388,9,27.46,115,151,0.62,152,236
,MY Jun-May,280,527,0.78,807,41,32.30,495,568,2.76,571,236
,,,,,,,,,,,,
1980/81,Q1 Jun-Aug,236,459,0.45,696,11,,145,156,1.55,158,538
,Q2 Sep-Nov,538,,0.22,538,10,3.96,100,114,2.15,117,422
,Q3 Dec-Feb,422,,0.19,422,10,0.99,103,114,2.06,116,306
,Q4 Mar-May,306,,0.28,306,9,28.05,88,126,3.08,129,177
,MY Jun-May,236,459,1.13,696,41,33.00,437,511,8.84,519,177
,,,,,,,,,,,,
1981/82,Q1 Jun-Aug,177,510,0.22,687,12,,158,170,1.39,171,516
,Q2 Sep-Nov,516,,0.21,516,11,4.10,105,120,0.70,121,395
,Q3 Dec-Feb,395,,0.12,395,10,1.03,101,112,0.31,112,283
,Q4 Mar-May,283,,0.94,284,9,29.07,94,132,0.29,132,152
,MY Jun-May,177,510,1.48,688,41,34.20,458,533,2.69,536,152
,,,,,,,,,,,,
1982/83,Q1 Jun-Aug,152,593,0.64,745,12,,127,139,0.17,139,606
,Q2 Sep-Nov,606,,0.15,606,11,5.20,103,119,0.43,119,487
,Q3 Dec-Feb,487,,0.76,488,10,1.30,108,120,0.10,120,368
,Q4 Mar-May,368,,1.96,370,8,36.81,104,150,0.05,150,220
,MY Jun-May,152,593,3.51,748,42,43.30,442,527,0.75,528,220
,,,,,,,,,,,,
1983/84,Q1 Jun-Aug,220,476,9.15,705,12,,142,154,0.12,154,552
,Q2 Sep-Nov,552,,6.08,558,10,3.54,126,140,0.50,141,417
,Q3 Dec-Feb,417,,6.24,423,10,0.89,108,120,0.09,120,304
,Q4 Mar-May,304,,8.45,312,8,25.08,97,131,0.24,131,181
,MY Jun-May,220,476,29.92,726,41,29.50,474,544,0.94,545,181
,,,,,,,,,,,,
1984/85,Q1 Jun-Aug,181,474,1.99,657,12,,127,139,0.10,139,518
,Q2 Sep-Nov,518,,8.71,526,10,3.74,115,129,0.16,129,397
,Q3 Dec-Feb,397,,12.17,409,10,0.94,102,113,0.12,113,296
,Q4 Mar-May,296,,10.76,307,8,26.52,92,127,0.12,127,180
,MY Jun-May,181,474,33.63,688,41,31.20,436,508,0.50,508,180
,,,,,,,,,,,,
1985/86,Q1 Jun-Aug,180,518,4.44,703,13,,136,149,0.10,149,554
,Q2 Sep-Nov,554,,4.22,558,11,3.90,118,133,0.29,134,425
,Q3 Dec-Feb,425,,8.87,434,11,0.98,109,121,0.08,121,312
,Q4 Mar-May,312,,9.71,322,9,27.63,101,138,0.77,138,184
,MY Jun-May,180,518,27.24,726,44,32.50,464,541,1.24,542,184
,,,,,,,,,,,,
1986/87,Q1 Jun-Aug,184,385,8.71,577,13,,113,126,0.23,126,452
,Q2 Sep-Nov,452,,4.80,456,12,4.56,98,114,0.32,114,342
,Q3 Dec-Feb,342,,9.22,351,11,1.14,91,103,0.08,103,249
,Q4 Mar-May,249,,9.63,258,9,32.30,84,125,0.29,125,133
,MY Jun-May,184,385,32.36,601,45,38.00,384,467,0.92,468,133
,,,,,,,,,,,,
1987/88,Q1 Jun-Aug,133,374,6.99,513,15,,105,119,0.17,120,394
,Q2 Sep-Nov,394,,8.09,402,13,3.79,91,108,0.14,108,294
,Q3 Dec-Feb,294,,15.79,310,12,0.95,84,98,0.13,98,212
,Q4 Mar-May,212,,14.85,227,10,26.86,78,115,0.06,115,112
,MY Jun-May,133,374,45.72,552,50,31.60,358,440,0.50,440,112
,,,,,,,,,,,,
1988/89,Q1 Jun-Aug,112,217,12.26,342,21,,57,78,0.17,78,264
,Q2 Sep-Nov,264,,11.89,275,19,3.30,49,71,0.13,71,204
,Q3 Dec-Feb,204,,20.11,224,18,0.80,46,64,0.21,65,160
,Q4 Mar-May,160,,18.64,178,15,23.00,42,80,0.08,80,98
,MY Jun-May,112,217,62.90,392,73,27.10,194,293,0.58,294,98
,,,,,,,,,,,,
1989/90,Q1 Jun-Aug,98,374,16.96,489,22,,94,115,0.23,116,373
,Q2 Sep-Nov,373,,17.48,391,19,2.70,82,103,0.27,103,287
,Q3 Dec-Feb,287,,15.69,303,18,0.70,69,88,0.15,88,215
,Q4 Mar-May,215,,15.68,230,15,20.00,38,73,0.17,74,157
,MY Jun-May,98,374,65.81,538,74,23.40,283,380,0.83,381,157
,,,,,,,,,,,,
1990/91,Q1 Jun-Aug,157,358,17.52,532,22,,158,180,0.18,180,352
,Q2 Sep-Nov,352,,11.68,363,19,2.20,48,69,0.23,69,294
,Q3 Dec-Feb,294,,18.25,312,19,0.50,64,83,0.09,83,229
,Q4 Mar-May,229,,15.97,245,15,16.40,42,74,0.10,74,171
,MY Jun-May,157,358,63.41,578,75,19.10,312,406,0.61,407,171
,,,,,,,,,,,,
1991/92,Q1 Jun-Aug,171,244,21.72,437,22,,130,153,0.13,153,284
,Q2 Sep-Nov,284,,17.30,301,20,2.10,35,57,0.20,57,245
,Q3 Dec-Feb,245,,17.65,262,19,0.50,68,87,0.18,87,175
,Q4 Mar-May,175,,18.10,193,16,15.20,33,64,1.39,65,128
,MY Jun-May,171,244,74.77,490,77,17.80,266,360,1.90,362,128
,,,,,,,,,,,,
1992/93,Q1 Jun-Aug,128,294,15.14,437,23,,119,141,1.03,142,295
,Q2 Sep-Nov,295,,11.90,307,20,2.00,40,62,2.06,64,242
,Q3 Dec-Feb,242,,10.70,253,19,0.50,57,77,1.36,78,175
,Q4 Mar-May,175,,17.24,192,16,14.70,47,78,1.57,79,113
,MY Jun-May,128,294,54.98,477,77,17.20,263,358,6.02,364,113
,,,,,,,,,,,,
1993/94,Q1 Jun-Aug,113,207,16.82,337,21,,95,116,1.55,118,219
,Q2 Sep-Nov,219,,34.88,254,19,1.70,39,59,0.70,60,194
