Table 13--Sorghum: Cash prices at principal markets (dollars per hundredweight),,,,,,,,,,,,,,
"Commodity and
mkt yr 1/",,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Avg 2/
"No. 2 yellow, Gulf ports, LA ",1975/76,5.36,5.24,4.94,4.91,4.92,4.99,5.01,4.89,4.89,4.97,5.13,4.60,4.99
,1976/77,4.80,4.45,4.24,4.37,4.52,4.52,4.43,4.25,4.16,3.82,3.64,3.43,4.22
,1977/78,3.49,3.68,4.08,4.08,4.00,4.08,4.34,4.59,4.62,4.40,4.11,3.98,4.12
,1978/79,3.95,4.26,4.38,4.34,4.40,4.44,4.46,4.46,4.56,4.96,5.40,5.05,4.56
,1979/80,5.11,5.27,5.28,5.36,5.10,5.39,5.20,5.19,5.29,5.42,6.03,6.49,5.43
,1980/81,6.43,6.48,6.79,6.71,6.65,6.46,6.40,6.38,6.34,5.76,5.60,5.29,6.27
,1981/82,5.00,4.91,5.10,5.08,5.27,5.14,5.11,5.21,5.30,5.01,4.66,4.54,5.03
,1982/83,4.36,4.44,5.00,5.06,5.20,5.49,5.64,5.98,6.05,5.78,5.68,6.18,5.41
,1983/84,6.15,5.99,6.01,5.94,5.87,5.70,5.93,5.88,5.98,5.84,5.05,4.86,5.77
,1984/85,4.75,4.60,4.84,5.04,5.19,5.10,5.32,5.36,5.23,4.78,4.49,4.04,4.90
,1985/86,3.70,3.97,4.34,4.52,4.45,4.30,4.28,4.80,4.50,3.90,3.37,2.71,4.07
,1986/87,2.95,3.15,3.26,3.15,3.05,3.09,3.35,3.30,3.51,3.50,3.30,3.05,3.22
,1987/88,3.13,3.35,3.55,3.50,3.65,3.80,3.86,3.70,3.73,5.00,5.33,4.93,3.96
,1988/89,4.99,4.91,4.64,4.93,4.99,4.99,5.02,4.89,5.05,4.75,4.02,4.53,4.81
,1989/90,4.67,4.61,4.69,4.70,4.62,4.59,4.70,4.97,5.04,4.87,4.95,4.73,4.76
,1990/91,4.52,4.43,4.43,4.60,4.76,4.82,4.97,4.94,4.64,4.45,4.54,4.72,4.65
,1991/92,4.81,4.86,4.79,4.90,5.08,5.30,5.39,5.00,4.89,4.72,4.27,4.26,4.86
,1992/93,4.26,4.11,4.22,4.33,4.33,4.29,4.32,4.30,4.22,4.03,4.38,4.41,4.27
,1993/94,4.40,4.55,5.15,5.43,5.52,5.41,5.22,4.89,4.88,4.77,4.28,4.29,4.90
,1994/95,4.16,4.19,4.42,4.59,4.63,4.63,4.67,4.08,4.27,4.97,5.41,5.38,4.62
,1995/96,5.78,6.22,6.38,6.93,7.05,7.25,7.50,8.44,8.46,7.95,7.38,6.89,7.19
,1996/97,5.89,5.34,4.76,4.77,4.80,5.03,5.42,5.37,5.17,4.75,4.36,4.71,5.03
,1997/98,4.69,5.16,5.09,5.02,5.04,5.07,5.00,4.69,4.58,4.32,4.33,4.13,4.76
,1998/99,3.84,4.00,4.15,4.12,4.13,4.11,4.16,4.06,3.94,3.86,3.46,3.77,3.97
,1999/00,3.64,3.55,3.59,3.66,4.01,4.07,4.16,4.10,4.27,3.60,3.34,3.46,3.79
,2000/01,3.75,4.06,4.36,4.54,4.55,4.44,4.34,4.25,4.29,3.54,4.22,4.34,4.22
,2001/02,4.28,4.29,4.30,4.39,4.34,4.20,4.17,4.03,4.10,4.20,4.58,5.20,4.34
,2002/03,5.30,5.13,5.21,5.13,5.01,4.95,4.78,4.79,4.76,,,,5.01
,2003/04,,,,,5.62,5.81,6.08,6.05,5.61,5.32,4.56,4.54,5.45
,2004/05,4.32,4.09,3.98,4.14,4.07,4.15,4.45,4.30,4.41,4.68,5.84,4.62,4.42
,2005/06,4.50,4.48,4.29,4.66,4.84,5.00,4.96,5.18,5.60,5.57,5.86,5.53,5.04
,2006/07,5.82,7.01,7.67,7.66,7.91,8.15,7.78,6.55,6.98,8.30,7.11,7.70,7.39
,2007/08,8.10,7.84,7.77,8.96,10.25,10.04,10.53,11.12,10.92,12.23,10.58,9.38,9.81
,2008/09,9.55,7.40,6.55,6.69,6.85,6.56,6.92,6.78,7.56,7.78,6.64,6.94,7.19
,2009/10,6.86,7.86,8.24,8.21,8.05,7.58,7.62,7.34,7.49,7.19,7.98,8.46,7.74
,2010/11,9.79,10.40,10.75,11.10,11.91,12.63,12.64,13.68,,,12.65,13.71,11.92
,2011/12,12.88,12.08,12.44,11.82,12.20,12.09,12.04,11.94,,,,13.47,12.33
,2012/13,12.97,13.20,13.10,13.14,13.13,13.12,13.32,12.18,12.41,,,10.01,12.66
,2013/14,9.84,9.31,8.86,9.34,9.77,10.16,10.57,,,,,8.41,9.53
,2014/15,7.91,8.52,9.04,9.85,10.41,10.70,,9.97,7.44,,,8.09,9.10
,2015/16,8.08,8.23,7.89,,,,,,,,,,8.07
,2016/17,,,,,,,,,,7.56,,,7.56
,,,,,,,,,,,,,,
"No. 2 yellow, Plainview to Muleshoe, TX ",1974/75,,,,,,,,,,3.86,3.86,3.86,3.86
,1975/76,5.03,4.56,4.32,4.32,4.29,4.38,4.47,4.48,4.49,4.63,5.01,4.40,4.53
,1976/77,4.33,3.97,3.73,3.79,3.86,3.86,3.86,3.77,3.67,3.50,3.46,3.10,3.74
,1977/78,3.13,3.38,3.58,3.63,3.62,3.67,4.04,4.28,4.25,4.27,4.12,3.93,3.83
,1978/79,3.85,4.06,4.13,4.08,4.04,4.05,4.01,4.06,4.21,4.83,5.39,4.97,4.31
,1979/80,4.92,4.83,4.76,4.75,4.49,4.56,4.46,4.48,4.78,4.99,5.71,5.89,4.89
,1980/81,5.95,6.27,6.62,6.42,6.26,5.93,5.79,5.88,5.90,5.83,5.80,5.02,5.97
,1981/82,4.65,4.70,4.71,4.63,4.77,4.78,4.75,4.91,5.26,5.28,5.24,4.80,4.87
,1982/83,4.39,4.08,4.38,4.65,4.82,5.19,5.52,5.94,5.76,5.81,5.86,5.85,5.19
,1983/84,5.77,5.56,5.49,5.43,5.35,5.14,5.33,5.68,5.67,5.77,5.72,5.46,5.53
,1984/85,5.22,4.95,4.86,4.90,4.84,4.86,4.98,5.14,5.22,5.25,5.24,,5.04
,1985/86,4.19,4.38,4.30,4.49,4.47,4.36,4.33,4.48,4.77,4.84,3.93,3.36,4.33
,1986/87,3.35,3.24,2.97,3.06,2.94,2.89,3.06,3.32,3.56,3.60,3.58,3.30,3.24
,1987/88,3.19,3.27,3.27,3.39,3.40,3.53,3.56,3.54,3.55,4.84,5.25,4.96,3.81
,1988/89,4.98,4.95,4.62,4.63,4.75,4.69,4.72,4.63,4.50,4.59,4.46,4.44,4.66
,1989/90,4.39,4.13,4.06,4.03,4.04,4.02,4.10,4.38,4.96,4.94,4.82,4.63,4.38
,1990/91,4.27,4.17,4.28,4.49,4.49,4.57,4.69,4.66,4.66,4.48,4.39,4.57,4.48
,1991/92,4.52,4.56,4.57,4.61,4.76,4.92,5.04,4.93,5.01,5.03,4.85,4.54,4.78
,1992/93,4.14,3.68,3.72,3.86,4.30,3.86,4.04,4.14,4.05,3.95,4.47,4.46,4.06
,1993/94,4.43,4.64,5.18,5.51,5.52,5.35,5.12,4.80,4.90,4.98,4.46,4.46,4.95
,1994/95,4.41,4.25,4.33,4.49,4.44,4.48,4.63,4.68,4.93,5.26,5.61,5.53,4.75
,1995/96,5.84,6.15,6.26,6.55,6.75,7.25,7.38,8.16,8.88,8.57,8.35,7.43,7.30
,1996/97,6.30,5.08,4.66,4.59,4.57,4.80,5.47,5.21,5.04,4.80,4.70,4.97,5.02
,1997/98,4.81,4.91,4.91,4.82,4.88,4.85,4.85,4.62,4.60,4.65,4.53,4.15,4.72
,1998/99,3.83,4.01,4.14,3.94,3.79,3.78,3.85,3.78,3.67,3.61,3.40,3.59,3.78
,1999/00,3.39,3.30,3.33,3.36,3.54,3.67,3.19,3.83,3.49,3.00,3.37,2.88,3.36
,2000/01,3.68,3.95,4.03,3.55,4.08,4.02,4.04,3.45,3.86,4.01,4.28,4.28,3.94
,2001/02,4.23,4.03,3.97,4.01,3.89,3.81,3.84,3.73,3.88,3.99,4.39,4.79,4.05
,2002/03,5.30,4.75,4.71,4.68,4.55,4.54,4.39,4.54,4.76,,,,4.69
,2003/04,,,,,4.90,5.17,5.48,5.71,,5.15,4.36,4.28,5.01
,2004/05,4.07,3.84,3.83,3.92,3.86,3.40,4.12,4.02,3.98,4.11,4.27,4.02,3.95
,2005/06,4.00,3.77,3.77,3.26,3.64,4.06,3.84,3.69,4.04,4.02,4.14,3.80,3.84
,2006/07,4.12,5.18,6.30,6.52,6.72,7.17,6.88,6.28,6.29,6.43,5.57,5.57,6.09
,2007/08,5.88,5.90,6.23,8.48,7.97,8.46,8.97,9.78,9.82,11.61,10.42,8.40,8.49
,2008/09,8.19,5.85,5.26,4.63,5.14,4.81,5.18,5.28,5.94,5.90,4.23,4.83,5.44
,2009/10,4.48,5.53,6.31,6.25,5.95,5.64,5.71,5.50,5.77,5.36,5.76,6.56,5.74
,2010/11,7.74,8.54,8.78,9.62,10.46,11.42,11.45,12.78,12.22,12.21,10.69,11.47,10.62
,2011/12,11.48,10.73,10.96,10.50,,,,,,,,,10.92
,,,,,,,,,,,,,,
"No. 2 yellow, Kansas City, MO",1975/76,4.66,4.53,4.36,4.33,4.36,4.47,4.62,4.47,4.47,4.66,4.73,4.29,4.50
,1976/77,4.27,3.88,3.60,3.77,3.91,3.85,3.75,3.62,3.53,3.28,3.15,2.73,3.61
,1977/78,2.78,3.05,3.40,3.36,3.37,3.49,3.78,3.92,3.92,3.82,3.54,3.41,3.49
,1978/79,3.43,3.61,3.67,3.64,3.71,3.73,3.77,3.81,3.92,4.41,4.89,4.44,3.92
,1979/80,4.34,4.42,4.41,4.57,4.21,4.35,4.20,4.15,4.31,4.49,5.36,5.71,4.54
,1980/81,5.61,5.65,5.91,5.82,5.79,5.52,5.46,5.49,5.38,5.23,5.29,4.58,5.48
,1981/82,4.16,4.14,4.14,4.27,4.44,4.26,4.28,4.45,4.48,4.50,4.38,4.02,4.29
,1982/83,4.06,3.85,4.25,4.37,4.37,4.54,5.08,5.30,5.37,5.37,5.32,5.69,4.80
,1983/84,5.55,5.37,5.25,5.16,5.09,5.03,5.40,5.36,5.39,5.40,4.95,4.74,5.22
,1984/85,4.46,4.25,4.28,4.32,4.48,4.33,4.58,4.76,4.74,4.74,4.50,4.06,4.46
,1985/86,3.56,3.62,3.75,3.97,3.95,3.80,3.82,4.00,4.25,4.00,3.20,2.71,3.72
,1986/87,2.47,2.60,2.70,2.62,2.50,2.57,2.80,2.85,3.10,3.20,2.80,2.55,2.73
,1987/88,2.64,2.75,2.90,2.95,3.05,3.24,3.27,3.16,3.21,4.58,4.79,4.28,3.40
,1988/89,4.27,4.17,4.00,4.23,4.24,4.26,4.32,4.17,4.29,4.15,3.96,3.92,4.17
,1989/90,4.73,3.91,4.00,3.98,3.91,3.84,4.01,4.32,4.47,4.54,4.48,4.27,4.21
,1990/91,3.89,3.79,3.85,3.97,4.12,4.21,4.35,4.34,4.13,4.02,4.05,4.22,4.08
,1991/92,4.24,4.30,4.27,4.35,4.44,4.62,4.78,4.41,4.54,4.51,4.05,3.77,4.36
,1992/93,3.76,3.60,3.61,3.70,3.70,3.66,3.70,3.72,3.82,3.58,3.99,4.01,3.74
,1993/94,3.89,4.03,4.60,4.91,4.93,4.81,4.64,4.33,4.38,4.43,3.79,3.73,4.37
,1994/95,3.72,3.55,3.60,3.81,3.92,3.90,4.01,4.08,4.27,4.50,4.93,4.85,4.10
,1995/96,5.08,5.45,5.68,6.19,6.39,6.58,6.81,7.79,8.17,7.79,7.24,6.74,6.66
,1996/97,5.29,4.64,4.31,4.22,4.24,4.46,4.88,4.83,4.63,4.48,4.48,4.18,4.55
,1997/98,4.13,4.36,4.30,4.26,4.33,4.36,4.40,4.10,4.09,4.03,3.74,3.27,4.11
,1998/99,2.98,3.17,3.45,3.41,3.41,3.43,3.48,3.37,3.35,3.32,2.92,3.24,3.29
,1999/00,2.97,2.71,2.75,2.87,3.20,3.28,3.51,3.53,3.75,3.18,2.71,2.76,3.10
,2000/01,2.67,3.14,3.41,3.66,3.64,3.63,3.56,3.45,3.30,3.26,3.59,3.65,3.41
,2001/02,3.55,3.38,3.44,3.59,3.61,3.55,3.58,3.47,3.44,3.57,3.97,4.60,3.65
,2002/03,4.86,4.70,4.72,4.62,4.52,4.43,4.07,4.24,4.12,4.06,3.71,4.00,4.34
,2003/04,4.15,4.18,4.50,4.61,4.71,4.88,5.18,5.37,4.94,4.67,3.92,3.75,4.57
,2004/05,3.45,3.21,3.17,3.21,3.13,3.23,3.44,3.30,3.36,3.56,3.90,3.53,3.37
,2005/06,3.22,3.08,2.93,3.30,3.46,3.58,3.65,3.79,4.03,3.90,4.15,3.79,3.57
,2006/07,3.82,5.07,5.97,6.03,6.36,6.72,6.38,5.69,5.97,6.09,5.33,5.50,5.75
,2007/08,5.68,5.60,6.13,7.34,8.36,8.86,9.13,9.70,9.65,11.63,10.10,8.37,8.38
,2008/09,8.43,5.92,5.49,5.19,5.67,5.48,5.51,5.76,6.37,6.29,4.66,4.75,5.79
,2009/10,4.81,5.49,5.72,6.44,5.81,5.58,5.69,5.64,5.77,5.50,6.03,6.59,5.75
,2010/11,8.23,9.10,9.40,9.91,10.62,11.62,11.37,12.64,12.08,12.21,12.27,12.97,11.04
,2011/12,11.79,10.90,11.30,10.91,11.27,11.36,11.14,10.61,10.04,9.90,12.96,13.46,11.30
,2012/13,12.74,12.65,12.88,12.74,12.74,12.59,12.63,11.38,11.82,11.97,11.00,8.61,11.98
,2013/14,8.15,7.57,7.40,7.52,7.62,8.08,8.64,8.89,8.74,7.98,6.79,6.05,7.79
,2014/15,5.31,5.67,6.71,7.25,6.93,6.85,8.16,7.92,6.79,7.23,7.76,6.65,6.94
,2015/16,6.09,6.31,6.22,6.53,6.32,6.11,5.91,5.92,6.00,6.34,5.05,4.90,5.98
,2016/17,4.94,5.18,5.09,5.28,5.48,5.67,5.50,5.61,5.94,5.88,5.66,5.32,5.46
,2017/18,5.39,5.49,5.51,5.85,6.12,5.81,6.13,6.17,6.22,6.07,5.62,5.73,5.84
,2018/19,5.41,5.50,5.64,5.98,5.92,5.97,,,,,,,
,,,,,,,,,,,,,,
"1/ September-August.
2/ Simple average of monthly prices reported for the marketing year.
Source: USDA, Agricultural Marketing Service, Grain and Feed Market News.",,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,
