Table 14--Barley and Oats: Cash prices at principal markets (dollars per bushel),,,,,,,,,,,,,,
"Commodity and
mkt yr 1/",,Jun,Jul,Aug,Sep,Oct,Nov,Jan,Dec,Feb,Mar,Apr,May,Avg 2/
"Barley, No.3, Malting, Minneapolis, MN ",1975/76,3.97,3.83,3.65,3.93,3.83,3.56,3.24,3.35,3.21,3.22,3.17,3.22,3.52
,1976/77,3.55,3.59,3.37,3.24,3.21,3.00,3.00,2.95,2.91,2.98,2.91,2.83,3.13
,1977/78,2.38,2.02,1.92,2.15,2.25,2.36,2.26,2.32,2.33,2.32,2.44,2.51,2.27
,1978/79,2.39,2.13,2.19,2.27,2.26,2.47,2.30,2.40,2.33,2.46,2.59,2.73,2.38
,1979/80,2.80,2.82,2.67,3.10,3.18,3.06,2.87,2.93,2.81,2.69,2.73,2.82,2.87
,1980/81,2.99,3.36,3.27,3.63,3.80,3.88,3.75,3.77,3.83,3.71,3.84,3.80,3.64
,1981/82,3.34,2.95,3.15,3.05,3.02,3.07,3.00,2.92,3.14,2.99,2.98,3.05,3.06
,1982/83,2.93,2.63,2.48,2.37,2.42,2.45,2.38,2.37,2.42,2.45,2.68,2.76,2.53
,1983/84,2.60,2.54,2.76,2.90,2.96,2.95,2.85,2.77,2.76,2.91,3.04,3.06,2.84
,1984/85,3.04,2.86,2.48,2.44,2.43,2.43,2.46,2.36,2.47,2.51,2.52,2.55,2.55
,1985/86,2.46,2.25,2.03,2.15,2.10,2.27,2.28,2.29,2.20,2.34,2.40,2.07,2.24
,1986/87,1.84,1.75,1.61,1.76,1.93,2.02,1.81,1.88,1.92,2.01,2.05,2.12,1.89
,1987/88,2.07,1.93,1.73,1.98,2.08,2.05,2.02,2.01,2.15,2.08,2.11,2.24,2.04
,1988/89,3.61,3.87,4.25,4.40,4.39,4.14,4.14,3.82,4.19,4.33,4.29,3.84,4.11
,1989/90,3.02,3.33,3.57,3.43,3.48,3.18,3.20,3.19,3.02,3.83,2.97,3.17,3.28
,1990/91,2.92,2.35,2.35,2.32,2.30,2.40,2.33,2.31,2.38,2.46,2.48,2.41,2.42
,1991/92,2.26,2.14,2.14,2.21,2.38,2.50,2.51,2.54,2.51,2.50,2.50,,2.38
,1992/93,2.58,2.59,2.19,2.30,2.39,2.35,2.36,2.36,2.32,2.33,2.34,2.34,2.37
,1993/94,2.30,2.27,2.27,2.18,2.26,2.48,2.55,2.57,2.63,2.65,2.73,2.84,2.48
,1994/95,2.86,2.57,2.46,2.57,2.81,2.90,2.81,2.81,2.82,2.85,,,2.75
,1995/96,3.15,3.69,3.22,3.58,3.69,4.02,4.00,3.98,3.47,,,4.11,3.69
,1996/97,3.28,3.74,3.40,3.15,,,,,2.75,,2.73,,3.18
,1997/98,2.62,1.74,2.66,2.74,2.74,,,,,,,,2.50
,1998/99,,,2.30,,,,,,,,,,2.30
,2000/01,,,,,2.24,2.39,,2.45,2.40,2.37,2.35,2.41,2.37
,2001/02,,,2.35,2.34,2.42,2.44,2.48,2.48,2.48,2.48,2.47,2.45,2.44
,2002/03,2.48,2.56,2.69,,3.43,3.86,3.94,3.95,3.77,3.81,3.89,3.85,3.48
,2003/04,3.76,3.64,2.87,2.70,2.60,2.63,2.65,2.65,2.60,2.70,2.70,2.70,2.85
,2004/05,2.79,2.67,2.33,2.31,2.29,2.41,2.48,2.48,2.46,2.45,2.45,2.45,2.46
,2005/06,2.50,2.50,2.50,2.50,2.61,2.61,2.84,2.78,2.85,2.84,2.90,2.96,2.70
,2006/07,3.02,3.10,3.14,3.22,3.45,3.89,4.16,4.19,4.16,4.20,4.26,4.42,3.77
,2007/08,4.53,4.41,4.38,5.03,6.54,6.37,6.97,6.61,7.08,7.23,7.25,7.29,6.14
,2008/09,7.41,7.41,7.03,6.51,,5.15,5.20,4.99,5.05,,3.90,4.29,5.69
,2009/10,4.63,4.19,,,,3.45,3.41,3.40,3.35,,3.03,3.17,3.58
,2010/11,3.20,,,,,4.70,5.58,5.16,5.91,5.92,6.20,6.43,5.39
,2011/12,7.40,7.72,7.83,7.76,7.64,7.60,7.20,7.32,7.07,7.05,7.03,7.00,7.39
,2012/13,7.03,6.89,6.95,6.99,7.11,7.23,7.09,7.22,7.04,6.87,6.51,6.70,6.97
,2013/14,6.88,6.79,5.88,5.41,5.50,5.46,5.72,5.77,5.64,5.97,6.24,6.10,5.95
,2014/15,5.71,5.62,5.79,5.98,7.28,7.35,7.10,7.35,6.75,,6.35,6.23,6.50
