"Table 16--Byproduct feeds: Average wholesale price, bulk, specified markets (dollars per ton)",,,,,,,,,,,,,,
"Commodity and
mkt yr 1/",,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Avg 2/
"Alfalfa meal, dehydrated, 17% protein, Kansas City, MO",1980/81,,,,,,,,,,,,106.00,106.00
,1981/82,109.40,110.20,110.10,109.40,105.40,99.90,99.80,105.80,105.90,103.80,102.50,105.40,105.63
,1982/83,109.60,115.50,118.80,119.60,121.10,121.10,131.10,136.10,115.70,114.80,120.10,124.00,120.63
,1983/84,129.00,132.00,134.00,140.00,144.00,141.00,142.00,143.00,117.00,110.00,109.00,112.00,129.42
,1984/85,114.00,117.00,115.00,111.00,105.00,95.00,94.00,92.00,87.00,87.00,86.00,86.00,99.08
,1985/86,89.00,93.00,95.00,98.00,98.00,99.00,104.00,100.00,92.00,80.00,81.40,84.20,92.80
,1986/87,86.60,90.10,94.50,96.40,95.60,94.60,96.60,96.00,90.00,91.00,92.00,94.00,93.12
,1987/88,100.00,102.00,104.00,105.00,107.00,106.00,105.00,103.00,113.00,126.00,128.00,130.50,110.79
,1988/89,133.50,136.40,138.80,139.00,138.00,141.00,145.50,149.20,134.00,129.25,125.00,124.25,136.16
,1989/90,125.00,129.50,133.75,136.00,136.25,136.00,133.75,126.80,118.50,113.20,111.00,110.00,125.81
,1990/91,110.00,111.25,112.00,112.00,112.00,111.25,112.20,115.00,109.00,105.40,103.00,103.00,109.68
,1991/92,103.00,103.00,104.00,104.00,104.00,102.60,101.75,98.75,98.00,97.75,97.00,96.20,100.84
,1992/93,99.50,102.75,106.60,111.00,112.00,115.40,124.10,125.00,111.00,109.00,113.10,118.75,112.35
,1993/94,127.75,133.90,137.50,136.90,134.75,130.00,125.75,121.50,112.10,109.90,113.00,115.40,124.87
,1994/95,119.90,121.60,122.00,121.00,118.30,115.90,116.75,118.10,117.30,115.40,116.40,118.10,118.40
,1995/96,120.60,122.90,124.10,124.40,124.50,124.50,133.60,143.70,140.30,136.10,134.90,134.60,130.35
,1996/97,138.70,140.10,142.10,144.50,146.80,147.00,147.00,147.50,144.70,138.00,138.40,138.00,142.73
,1997/98,139.50,140.63,140.90,146.80,139.30,132.80,123.10,118.50,113.60,111.70,110.60,108.30,127.14
,1998/99,107.50,107.50,107.10,106.90,104.70,101.90,101.50,100.10,97.10,96.24,94.07,93.93,101.55
,1999/00,93.40,93.50,94.50,95.48,95.35,95.20,95.74,96.00,97.64,100.40,101.61,112.25,97.59
,2000/01,119.16,127.50,127.16,135.45,140.37,142.82,145.00,143.23,133.19,139.67,148.91,154.29,138.06
,2001/02,156.00,156.00,156.00,155.15,154.34,152.38,147.18,145.09,144.65,151.80,165.02,165.00,154.05
,2002/03,165.00,165.00,165.00,163.30,161.30,159.40,155.90,147.00,137.75,130.00,121.30,121.30,149.35
,2003/04,123.15,125.00,124.93,122.53,125.00,124.02,124.02,121.67,120.00,120.00,120.00,120.00,122.53
,2004/05,120.00,120.00,120.00,120.00,120.39,127.50,137.02,137.50,136.23,131.68,134.09,138.70,128.59
,2005/06,147.62,148.00,148.95,151.50,159.05,164.20,165.00,165.50,170.14,179.30,182.27,185.95,163.96
,2006/07,184.00,192.55,189.26,190.50,194.00,202.52,210.06,215.80,216.10,204.39,216.91,204.53,201.72
,2007/08,204.80,208.14,251.50,210.12,221.10,226.50,227.00,228.48,232.43,239.68,246.50,248.40,228.72
,2008/09,251.50,251.50,251.50,251.38,257.34,243.32,237.81,230.25,223.43,217.26,213.29,206.50,236.26
,2009/10,206.50,208.50,208.93,216.89,209.00,209.00,212.93,213.00,215.36,213.88,211.84,208.29,211.18
,2010/11,206.40,204.12,204.00,205.38,208.21,213.33,215.75,218.50,243.95,257.50,268.83,282.55,227.38
,2011/12,301.17,311.64,324.50,329.00,332.00,333.50,334.00,333.32,333.00,338.95,360.61,365.77,333.12
,2012/13,366.81,368.38,372.50,371.31,368.56,365.25,370.57,372.50,370.75,363.93,362.50,360.88,367.83
,2013/14,360.00,360.00,358.93,353.10,341.58,335.00,335.24,335.95,340.00,334.89,323.22,311.91,340.82
,2014/15,298.05,293.56,296.31,302.50,298.82,295.91,287.50,285.50,276.66,265.46,277.50,277.50,287.94
,2015/16,277.50,279.50,277.50,279.61,273.48,279.77,271.79,262.74,252.50,250.00,250.00,237.39,265.98
,2016/17,235.00,229.80,223.24,226.38,227.21,222.79,238.00,236.75,228.34,223.50,225.29,226.38,228.56
,2017/18,226.55,225.50,222.50,237.16,240.50,244.43,249.31,255.22,251.13,255.00,253.00,255.50,242.98
,2018/19,252.75,258.00,255.50,271.00,2.68,,,,,,,,
,,,,,,,,,,,,,,
"Corn gluten feed, 21% protein, Midwest",1980/81,,,,,,,,,,,,108.50,108.50
,1981/82,110.00,110.00,113.80,117.00,117.00,112.00,112.00,112.00,112.00,114.25,110.40,115.00,112.95
,1982/83,109.50,111.20,120.00,125.00,117.50,112.80,110.00,111.75,114.00,120.00,127.00,135.00,117.81
,1983/84,140.60,136.00,136.25,135.00,118.75,111.25,113.75,106.00,83.75,79.70,78.75,69.40,109.10
,1984/85,76.00,80.10,80.60,79.80,73.90,61.60,59.70,63.25,68.50,74.10,78.00,81.25,73.07
,1985/86,86.60,89.00,91.80,72.50,89.30,97.10,63.00,90.00,87.50,81.30,88.10,97.80,86.17
,1986/87,105.50,109.75,99.20,97.90,98.10,99.30,98.40,96.90,93.80,91.25,92.40,96.50,98.25
,1987/88,98.50,106.00,110.00,118.10,120.60,119.00,118.10,116.90,129.50,135.00,120.00,119.40,117.59
,1988/89,119.40,123.10,125.00,127.10,120.90,118.90,120.40,112.50,108.00,107.00,106.10,108.00,116.37
,1989/90,110.00,109.75,110.40,110.30,108.75,108.75,102.10,95.00,81.25,83.40,82.25,83.50,98.79
,1990/91,92.60,94.25,98.40,114.20,103.75,114.25,101.70,95.98,94.25,92.00,90.50,95.60,98.96
,1991/92,104.60,106.10,107.00,107.40,108.50,101.50,95.50,95.40,94.40,99.40,102.50,107.30,102.47
,1992/93,108.50,106.10,115.20,108.10,107.00,89.00,80.50,81.60,82.70,81.90,83.50,82.50,93.88
,1993/94,80.90,85.30,90.50,92.40,87.60,88.60,89.90,91.00,91.25,92.00,91.50,90.40,89.28
,1994/95,89.25,86.85,84.30,82.20,81.00,82.10,77.40,78.50,79.90,81.90,79.40,81.60,82.03
,1995/96,98.40,118.60,119.10,127.00,122.10,122.00,127.40,138.40,122.10,109.30,111.60,115.75,119.31
,1996/97,102.30,97.50,99.50,100.25,102.75,100.90,95.90,83.60,72.25,70.40,75.50,81.10,90.16
,1997/98,73.75,73.25,78.20,76.90,76.50,69.30,64.00,64.60,61.90,58.75,57.50,51.50,67.18
,1998/99,56.90,66.10,74.40,75.90,62.50,56.00,54.25,56.90,57.90,51.75,54.30,55.50,60.20
,1999/00,58.40,62.80,59.00,55.50,51.90,50.25,51.75,51.10,48.88,45.25,43.20,46.38,52.03
,2000/01,51.00,57.75,66.00,73.40,65.87,60.63,54.13,52.10,54.75,59.30,65.38,66.25,60.55
,2001/02,66.40,66.25,65.00,60.00,56.50,55.00,53.60,53.63,55.00,57.10,61.75,65.38,59.63
,2002/03,67.00,68.50,70.00,68.25,66.50,66.25,64.80,62.50,62.90,59.50,61.60,65.10,65.24
,2003/04,76.90,100.00,109.50,101.63,99.50,83.20,83.20,84.25,70.50,64.50,60.60,59.88,82.81
,2004/05,54.75,48.90,53.25,53.63,51.38,51.90,51.75,52.80,50.63,50.38,51.90,47.13,51.53
,2005/06,51.75,50.10,52.63,55.75,57.75,61.63,57.88,60.38,58.25,56.13,56.00,55.90,56.18
,2006/07,60.20,68.63,69.88,92.00,85.38,84.94,72.82,59.50,62.25,66.40,75.00,85.50,73.54
,2007/08,105.00,129.38,134.17,135.60,128.75,117.19,129.10,114.38,112.00,125.70,108.13,99.30,119.89
,2008/09,91.25,90.63,79.60,96.13,98.88,75.40,66.63,68.25,78.70,62.63,61.13,59.80,77.42
,2009/10,73.13,84.88,89.70,95.25,91.00,67.30,52.00,49.50,49.00,58.38,82.20,103.00,74.61
,2010/11,129.75,141.80,136.25,138.88,149.25,150.10,151.13,149.40,149.75,148.89,160.60,183.25,149.09
,2011/12,173.75,168.20,155.00,138.00,133.75,129.38,128.75,137.80,138.00,192.20,252.50,243.38,165.89
,2012/13,226.50,209.75,203.34,204.10,209.88,204.13,176.70,157.25,151.00,140.60,123.13,135.50,178.49
,2013/14,157.50,158.38,168.00,165.00,167.50,177.63,166.60,157.00,131.88,113.70,109.25,98.70,147.59
,2014/15,90.13,105.13,143.30,135.25,117.25,107.20,83.13,72.25,74.40,91.25,88.75,95.50,100.29
,2015/16,96.00,109.63,113.13,109.63,102.38,87.00,73.25,87.00,107.13,95.01,90.30,85.38,96.32
,2016/17,77.00,83.50,92.83,97.50,88.13,87.13,75.00,71.00,68.38,71.35,73.10,75.00,79.99
,2017/18,80.70,93.00,96.25,98.80,106.25,105.50,,,,,,,96.75
,,,,,,,,,,,,,,
"Corn gluten meal, 60% protein, Midwest",1980/81,,,,,,,,,,,,260.00,260.00
,1981/82,245.25,244.40,260.50,275.00,271.25,243.00,225.00,225.00,228.00,237.50,229.50,221.25,242.14
,1982/83,207.50,215.00,246.25,265.00,267.50,251.00,238.75,235.00,213.00,242.50,300.00,326.25,250.65
,1983/84,308.75,283.00,275.00,284.00,258.75,245.00,256.25,271.00,266.25,236.75,218.75,213.80,259.78
,1984/85,211.30,215.60,240.00,232.00,215.60,203.75,191.00,172.50,169.20,174.50,198.10,211.25,202.90
,1985/86,208.70,208.75,219.50,219.40,208.10,198.75,192.90,210.60,216.90,211.50,206.25,208.00,209.11
,1986/87,222.50,230.60,241.50,232.20,206.25,208.50,213.10,226.40,267.80,268.75,240.60,259.50,234.81
,1987/88,278.75,305.60,313.50,309.40,283.75,287.00,275.60,278.75,355.50,380.00,310.00,309.40,307.27
