Table 17--Processed corn products: Quoted market prices,,,,,,,,,,,,,,
Commodity and mkt yr1/,,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Avg 2/
"Corn meal, yellow, Chicago, IL (dollars per hundredweight)",2001/02,,,,,13.15,13.09,13.11,12.97,13.06,14.51,14.93,14.94,
,2002/03,14.99,14.53,13.52,13.37,14.18,14.30,14.11,14.51,14.63,14.38,13.98,14.37,14.24
,2003/04,14.29,14.22,14.34,14.53,14.99,15.34,15.70,15.75,15.32,15.14,14.14,14.01,14.81
,2004/05,13.94,13.62,13.68,13.43,13.31,13.37,13.79,13.55,13.51,13.79,14.15,13.51,13.64
,2005/06,13.33,13.14,12.96,13.17,13.26,13.59,13.57,13.77,14.27,13.48,13.56,13.19,13.44
,2006/07,13.68,14.89,16.27,16.47,16.72,17.22,16.72,16.72,16.69,16.57,15.52,15.69,16.10
,2007/08,16.20,16.13,16.66,17.72,18.87,19.46,19.76,21.15,21.32,23.90,22.11,20.14,19.45
,2008/09,19.70,17.23,16.27,17.01,17.20,16.74,17.69,17.76,18.41,17.96,16.67,16.88,17.46
,2009/10,16.80,18.00,18.02,18.09,17.32,16.91,17.12,17.03,17.01,16.77,17.67,18.50,17.43
,2010/11,20.34,22.42,22.44,23.13,24.04,26.95,27.51,28.47,27.49,27.47,28.24,28.78,25.60
,2011/12,27.99,26.78,26.90,25.74,24.86,26.40,26.17,25.52,24.49,24.30,28.35,29.86,26.44
,2012/13,29.21,28.56,28.34,28.01,27.93,27.63,27.79,27.19,27.94,28.35,29.08,28.07,28.17
,2013/14,27.17,26.47,26.22,26.26,24.69,21.66,21.50,21.08,20.21,19.92,18.56,18.09,22.65
,2014/15,17.32,17.44,18.44,18.89,18.94,18.71,18.51,17.90,17.62,17.81,18.40,17.65,18.14
,2015/16,17.80,17.96,17.53,17.50,17.42,17.44,17.13,17.70,18.21,18.27,17.03,16.64,17.55
,2016/17,16.71,17.06,16.89,16.84,17.07,17.13,17.06,16.99,16.91,16.89,16.89,16.25,16.89
,2017/18,16.01,15.94,15.78,15.69,15.75,16.09,16.13,16.23,16.41,15.64,15.28,15.35,15.86
,2018/19,14.97,15.24,15.09,15.17,15.14,17.49,,,,,,,
,,,,,,,,,,,,,,
"Corn meal, yellow, New York, NY (dollars per hundredweight)",1983/84,14.69,14.43,14.29,13.63,13.50,13.57,14.28,14.69,14.71,14.91,14.73,14.62,14.34
,1984/85,14.35,12.06,12.76,12.75,12.92,13.22,13.60,13.54,13.25,13.26,13.18,12.72,13.13
,1985/86,12.81,12.34,12.57,12.83,12.63,12.43,12.53,12.47,12.83,12.98,12.70,12.60,12.64
,1986/87,11.56,11.67,11.63,11.28,11.15,10.96,11.17,11.35,11.70,11.67,11.18,10.91,11.35
,1987/88,11.03,11.21,11.26,11.21,11.35,11.45,11.48,11.51,11.52,13.12,13.97,13.44,11.88
,1988/89,13.27,13.33,13.10,13.20,13.13,13.00,13.28,13.11,13.15,13.21,13.28,12.91,13.16
,1989/90,12.88,13.03,13.08,13.44,13.11,13.12,13.28,13.77,13.93,13.91,13.78,13.50,13.40
,1990/91,13.40,13.53,13.54,13.50,13.51,13.62,13.62,13.69,13.43,12.82,13.20,13.62,13.46
,1991/92,13.40,13.46,13.32,13.36,13.42,13.75,13.77,13.51,13.56,13.79,13.48,13.25,13.51
,1992/93,13.30,13.10,13.18,13.14,13.09,13.07,13.33,13.66,13.65,13.51,13.83,13.83,13.39
,1993/94,13.80,14.33,14.97,15.28,15.40,15.12,14.92,14.77,14.65,14.75,13.01,12.91,14.49
,1994/95,12.94,12.93,12.92,12.97,13.04,13.04,13.13,13.17,13.22,13.59,13.85,13.80,13.22
,1995/96,14.34,14.76,14.87,15.15,17.01,17.36,17.87,19.46,20.28,20.18,20.45,21.72,17.79
,1996/97,20.36,17.19,16.78,16.18,16.38,16.67,17.02,16.94,16.67,16.38,16.20,16.50,16.94
,1997/98,16.59,16.73,16.50,16.26,16.02,16.10,16.09,15.74,15.69,15.67,15.27,14.62,15.94
,1998/99,14.58,14.89,15.07,14.91,15.13,15.24,15.47,15.22,15.18,15.20,14.72,15.12,15.06
,1999/00,15.28,14.89,14.42,14.57,15.12,15.17,15.39,15.26,15.90,15.29,14.72,14.62,15.05
,2000/01,14.92,15.60,16.12,16.13,16.00,15.83,16.05,16.08,15.70,15.62,16.13,15.98,15.85
,2001/02,15.81,15.43,15.56,15.56,15.46,15.40,15.42,15.28,15.72,15.67,16.31,17.26,15.74
,2002/03,17.30,16.84,14.91,15.37,16.49,16.61,16.42,16.82,16.94,16.73,16.29,16.68,16.45
,2003/04,16.60,16.52,16.64,16.83,17.29,17.64,18.00,18.05,17.62,17.41,16.44,16.31,17.11
,2004/05,16.24,15.99,15.98,15.75,15.61,15.67,16.09,15.85,15.83,16.09,16.45,15.81,15.95
,2005/06,15.63,15.44,15.26,15.45,15.56,15.89,15.87,16.07,16.58,15.79,15.87,15.49,15.74
,2006/07,16.10,17.20,18.57,18.77,19.02,19.53,19.03,19.02,18.99,18.87,17.82,18.00,18.41
,2007/08,18.50,18.44,18.97,20.03,21.17,21.76,22.06,23.45,23.62,26.21,24.42,22.44,21.76
,2008/09,22.00,19.54,18.57,19.32,19.50,19.04,20.00,20.07,20.72,20.26,18.98,19.18,19.76
