Table 19--U.S. barley and oats exports (bushels),,,,,,,,,,,,,,
"Export and
 mkt yr 1/",,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,"
 Annual"
Barley grain,1988/89,,,,,,,,"84,517","81,490","1,964,297","13,817,423","9,781,369",
,1989/90,"7,412,021","9,666,206","9,513,211","8,060,140","4,634,064","4,520,962","9,913,640","6,243,980","6,895,255","4,789,752","8,399,073","8,907,698","88,956,001"
,1990/91,"11,117,512","9,710,721","10,034,340","1,988,455","14,220,344","9,147,226","12,191,763","5,306,016","1,139,882","2,150,914","438,667","2,435,386","79,881,225"
,1991/92,"695,827","5,394,268","7,408,531","8,692,163","13,090,479","14,911,336","7,929,996","11,515,981","5,187,016","1,686,720","11,396,426","6,636,142","94,544,885"
,1992/93,"6,112,452","5,114,631","7,136,040","5,269,184","6,811,777","9,947,530","8,404,065","3,686,266","9,844,877","5,658,346","6,537,531","5,768,991","80,291,690"
,1993/94,"3,878,573","4,654,967","6,095,596","2,694,186","6,690,201","5,797,283","7,965,621","590,150","3,552,133","2,708,743","12,214,039","9,216,549","66,058,042"
,1994/95,"1,404,666","12,006,416","6,935,190","4,575,928","4,849,013","9,189,888","6,271,323","2,537,261","1,724,520","8,350,294","1,565,723","6,830,175","66,240,397"
,1995/96,"4,258,838","5,165,200","7,219,448","4,325,961","5,116,012","1,133,141","8,572,551","9,638,776","1,380,926","7,829,481","3,263,026","4,136,015","62,039,375"
,1996/97,"2,863,850","1,302,754","3,299,538","5,883,948","4,048,948","2,253,167","2,432,241","1,354,191","3,416,742","1,418,691","1,327,101","1,222,511","30,823,682"
,1997/98,"7,455,819","6,936,751","9,961,630","13,973,116","17,347,716","7,509,118","2,840,732","1,438,175","1,914,630","3,357,427","1,320,317","322,622","74,378,053"
,1998/99,"1,246,650","2,217,984","4,444,365","5,225,733","1,176,120","1,948,656","1,403,851","2,786,866","2,845,490","2,163,976","1,186,637","1,882,403","28,528,731"
,1999/00,"1,885,113","669,450","4,994,250","2,295,470","4,635,080","1,755,393","2,362,161","3,292,309","2,068,420","1,147,970","1,294,198","1,772,444","28,172,257"
,2000/01,"1,371,826","2,966,273","4,084,338","12,424,515","7,405,357","4,864,832","6,434,422","6,128,022","3,499,332","3,612,254","1,555,320","3,428,260","57,774,751"
,2001/02,"3,413,809","962,268","6,366,028","1,351,859","3,815,483","2,071,820","2,126,506","1,143,452","1,909,626","768,764","1,013,458","1,465,051","26,408,124"
,2002/03,"2,908,010","1,450,581","2,280,743","2,780,247","1,617,994","2,176,002","2,428,031","2,909,676","2,629,155","1,343,386","4,282,781","3,450,226","30,256,834"
,2003/04,"477,013","557,750","2,290,588","1,177,176","4,827,975","2,779,891","3,799,942","295,236","2,100,889","62,538","233,516","184,683","18,787,195"
,2004/05,"1,672,211","346,941","361,002","956,346","3,054,963","2,194,489","2,099,489","3,935,158","656,105","1,758,972","3,703,891","2,510,500","23,250,067"
