"Table 22--U.S. corn and sorghum exports by selected destinations (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export and country/region 1/,,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Corn 2/,Mexico,322,194,826,521,"1,480","3,002","6,477","3,162","4,127","5,454","4,804","5,945","4,517","5,288","5,683","5,885","6,336","8,768","9,818","7,841","8,253","7,483","10,097","4,581","10,490","11,333","13,337","13,932","15,724"
,Japan,55,44,"8,760","14,140","12,214","15,774","15,305","14,765","14,462","15,027","14,927","14,397","14,894","14,383","14,611","15,511","15,950","15,109","14,689","15,519","15,128","13,914","11,518","6,865","11,939","12,003","10,439","13,557","13,183"
,South Korea,23,2,"1,182",992,509,"8,005","8,193","5,322","3,484","6,308","3,021","3,174","1,359",273,"3,660","2,102","5,587","4,043","8,556","5,196","7,076","6,123","3,564",451,"4,961","3,934","2,964","5,601","5,736"
,Colombia,0,0,279,376,611,853,"1,086","1,322","1,039","1,512","1,782","1,616","1,698","1,599","1,782","2,044","2,704","3,247","2,945","1,422","1,019",506,274,155,"3,562","4,371","4,548","4,733","5,083"
,Peru,0,17,113,64,174,535,552,170,253,658,458,185,261,42,148,232,421,274,398,330,885,66,0,0,"1,246","2,555","2,379","2,989","3,238"
,China (Taiwan),5,5,"3,101","5,334","5,077","6,027","5,938","5,482","3,758","4,365","5,036","4,831","4,680","4,053","4,742","4,339","4,652","4,329","3,844","3,609","3,181","2,737","1,553",530,"1,781","1,839","2,040","2,962","2,464"
,Vietnam,,,,,,15,32,17,0,7,,0,,,,0,17,10,43,48,28,13,2,1,509,11,413,200,"1,909"
,European Union-27,71,64,"1,693","2,758","2,015","3,100","3,174","2,374",232,374,258,271,198,68,173,57,20,46,143,42,70,998,9,20,"1,204",361,413,843,"1,904"
,Canada,43,22,175,"1,256",567,"1,078",810,844,"1,442",880,"1,005","2,732","3,939","3,946","2,029","2,375","1,882","2,050","3,140","1,842","2,098",958,870,468,479,"1,490","1,014",704,"1,663"
,Saudi Arabia,1,1,316,752,916,769,930,942,926,"1,182","1,164","1,053",745,131,483,137,564,418,"1,053",504,755,576,362,346,"1,031","1,185","1,389","2,163","1,495"
,Egypt,1,2,758,"1,397","1,553","2,383","1,835","2,292","1,808","3,038","3,300","4,213","4,468","2,686","3,198","3,854","4,045","3,377","3,124","2,333","2,774","3,405",495,0,"2,710","1,235",852,323,"1,332"
,Guatemala,0,0,81,152,163,192,167,329,193,370,439,463,641,418,538,656,718,747,630,639,661,687,591,220,752,852,906,993,867
,Costa Rica,0,0,117,320,354,370,346,353,339,366,452,512,463,529,565,547,682,622,684,572,579,712,576,122,593,774,552,819,853
,Morocco,0,0,95,233,221,514,301,370,350,592,576,530,600,78,713,825,"1,094",699,900,464,457,182,59,0,202,298,450,871,748
,Israel,20,0,256,511,302,635,654,524,148,399,695,694,832,268,"1,176",423,620,800,"1,332",172,177,804,57,0,469,26,388,84,699
,Dominican Republic,9,1,321,626,625,613,644,707,644,777,"1,003",976,"1,030",937,809,989,"1,035","1,202","1,091",983,930,756,363,59,596,607,253,807,639
,Honduras,0,5,23,21,24,86,34,127,63,118,172,203,239,178,229,322,353,371,324,369,347,443,359,206,375,428,550,506,621
,Panama,0,0,60,78,131,136,149,175,240,254,295,247,233,277,279,298,332,351,387,346,327,263,209,130,333,450,392,504,502
,El Salvador,12,0,27,113,104,166,137,335,96,328,375,434,320,339,483,511,499,538,493,351,441,491,381,142,409,538,631,593,457
,Venezuela,0,1,482,719,809,885,533,697,649,"1,288","1,096","1,267",463,609,653,183,174,515,974,"1,204","1,106",856,"1,336","1,070","1,128",710,"1,155",419,435
,Tunisia,0,0,53,291,113,203,167,165,156,420,485,470,714,123,618,209,394,459,525,76,179,161,,,59,38,178,20,325
,China (Mainland),0,,,,,"3,240","2,207",53,212,204,58,1,20,0,1,2,55,49,9,90,"1,199",980,"5,146","2,390","2,732",747,264,807,306
,Jamaica,44,0,114,179,151,178,187,194,197,216,222,214,244,217,247,216,288,255,248,236,234,283,253,243,283,282,283,275,291
,Nicaragua,0,0,14,2,11,29,14,22,,56,70,71,56,66,75,83,116,127,128,91,116,156,124,38,121,191,258,329,280
,Philippines,0,,,,1,87,388,249,274,50,217,156,220,11,1,59,61,1,1,18,1,2,17,8,56,68,80,18,192
,Indonesia,,0,0,6,1,527,517,198,2,139,223,593,75,0,224,43,965,105,43,21,13,548,42,,116,45,161,351,147
,Sub-Saharan Africa,0,11,"2,696","3,955",406,636,669,355,338,443,524,117,740,356,263,146,242,13,43,233,12,8,5,29,35,29,235,605,137
,Cuba,,,,,,,,,,,,,215,230,473,450,422,538,810,684,583,454,475,274,137,26,85,337,117
,Trinidad And Tobago,0,0,72,89,91,89,96,77,86,87,95,98,102,114,95,116,96,112,115,93,100,85,85,81,86,89,92,78,92
,United Arab Emirates,0,0,17,36,26,56,10,38,27,78,184,31,392,0,0,13,61,23,51,87,30,20,11,0,5,23,50,39,71
,Malaysia,0,0,0,,1,452,"1,500",822,112,418,185,12,25,10,189,4,18,185,156,88,11,78,32,3,10,28,86,327,68
,Bangladesh,,0,,,,,,,,9,25,,,,,,,0,0,,0,,0,0,0,0,105,303,55
,Algeria,1,1,589,"1,048","1,073",944,462,803,861,955,"1,042","1,205","1,367",898,"1,270","1,073","1,235",854,"1,006",104,91,,,,76,239,663,91,48
,Guyana,,,,,,,,,,7,12,12,10,6,,3,17,17,27,25,37,37,41,20,24,19,29,32,43
,"New Zealand, No Islands",0,0,0,22,13,24,15,6,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,106,55,12,34
,Hong Kong,2,2,16,4,4,5,3,6,3,2,0,9,10,0,26,48,94,64,27,28,28,25,23,15,22,25,26,30,34
,Barbados,0,0,18,31,32,32,33,37,39,34,37,28,32,33,35,35,33,36,35,29,38,24,36,24,35,30,28,33,33
,Lebanon,0,0,74,173,57,148,195,295,89,169,221,199,202,102,259,259,180,218,212,119,120,249,0,0,66,0,0,20,23
,Chile,0,1,72,269,244,420,368,396,105,486,543,33,34,1,20,0,299,298,406,63,28,1,2,1,50,75,353,543,15
,Oman,,0,,20,0,,0,12,8,31,20,6,15,,22,,29,34,22,2,2,,2,1,0,33,7,79,12
,Haiti,0,0,0,0,,14,9,3,2,0,2,1,0,,,0,0,,1,0,0,0,4,8,11,3,9,33,12
,Suriname,0,0,12,22,7,11,15,13,15,15,17,18,17,18,17,18,19,12,8,11,10,9,13,4,6,4,8,10,9
,Pakistan,0,0,,0,1,0,1,0,1,0,1,2,1,2,3,3,4,3,3,7,4,3,5,7,9,7,6,8,7
,St. Vincent And The Grenadine,0,0,3,4,6,4,6,4,2,3,3,2,2,4,5,5,5,5,5,4,4,4,4,7,7,6,7,7,5
,Ecuador,0,0,0,24,1,49,155,114,75,230,168,177,234,181,384,321,339,418,477,217,168,214,30,0,1,27,0,49,4
,Grenada,0,0,1,2,2,1,11,3,3,3,3,3,4,4,3,3,8,9,3,14,4,16,2,8,4,4,3,3,4
,Argentina,1,0,1,1,1,2,7,6,22,2,3,2,1,0,1,2,1,1,2,1,1,1,1,1,1,0,1,0,3
,Sri Lanka,,0,,,,21,,22,,,,,,,,,,,,,,,,0,,,,,2
,St. Lucia,0,0,0,,,0,0,,,0,,,0,,,0,,,0,,0,0,,,0,2,3,2,2
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,French Polynesia,0,0,2,3,3,1,3,1,0,1,1,2,5,5,6,11,11,7,5,5,4,4,3,2,3,3,2,2,2
,Bahamas,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
,Thailand,,,0,0,0,119,175,0,0,37,2,12,0,0,0,0,0,,1,2,0,0,0,0,4,1,52,8,1
,Myanmar (Burma),,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,1
,Turkey,0,0,66,78,1,336,525,472,379,694,875,569,748,981,655,10,37,350,438,29,1,10,1,0,0,13,3,0,1
,Brazil,,0,0,71,32,367,10,13,1,121,43,16,0,39,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
,Cayman Islands,,,,0,,,,,,,,,0,,,,,,,0,0,0,,0,,,0,0,1
,Former Soviet Union-12,,,"1,807","4,014","2,561",37,53,80,23,405,503,28,86,0,76,17,15,2,40,1,0,1,0,0,1,1,,0,0
,Iran,,,95,444,117,546,,,,,611,144,63,,64,,,0,463,64,,67,,,,138,0,0,0
,Other Europe,1,0,2,2,1,62,12,40,27,20,51,16,25,15,18,0,2,0,10,0,2,3,16,9,0,0,0,1,0
,Belize,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,Singapore,1,0,0,1,1,13,1,58,0,0,0,0,0,0,0,0,2,1,0,1,,0,0,0,1,0,0,,0
,Aruba,,0,0,1,0,,,,,,,,,0,,,0,0,0,0,0,0,,0,0,0,0,0,0
,Jordan,0,0,167,280,246,348,249,272,58,124,74,15,39,28,190,299,319,320,147,139,86,71,20,0,0,80,29,189,0
,Qatar,,0,7,,7,13,7,,,22,,,,0,0,1,,,0,,,,,0,0,0,0,0,0
,Sint Maarten,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,,,,0,,0,,,0,0
