"Table 26--U.S. white corn exports by selected destinations (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/region 1/,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Mexico,46.33,19.51,4.60,361.67,323.90,208.57,235.28,408.23,988.97,"1,081.45","1,196.92",706.47,376.21,307.85,229.48,269.62,63.56,429.02,167.73,489.31,580.95,437.18,88.40,378.14,743.00,"1,004.99",829.00
Colombia,,6.00,9.00,55.00,25.00,9.50,20.13,5.40,71.33,194.23,62.50,175.52,81.00,106.76,121.12,113.08,28.26,60.39,187.56,110.32,86.29,64.21,67.52,178.52,252.00,,257.00
South Africa,,100.21,150.45,,144.41,401.04,,26.25,,,,377.50,23.08,59.99,,,,,,,,,,,,,181.00
Honduras,,,,,,2.90,38.33,,11.00,26.92,18.24,19.09,16.50,37.19,64.04,45.13,12.58,48.97,75.60,76.04,90.52,73.94,70.31,81.45,39.00,,94.00
El Salvador,,24.00,,33.00,5.00,5.50,44.90,10.66,32.93,50.91,61.08,57.31,15.56,52.06,70.87,74.91,21.55,105.16,60.86,52.94,82.24,115.17,21.87,41.42,72.00,,68.00
Costa Rica,,,,,,11.00,,11.05,13.75,27.31,33.19,36.39,23.42,25.97,48.23,48.06,49.34,25.17,16.75,60.78,57.96,11.46,,28.29,45.00,,56.00
Guatemala,,,,,,7.31,5.50,,31.82,15.50,50.56,57.02,,11.45,63.03,58.00,,9.57,40.47,37.68,52.42,35.69,11.00,,46.00,272.03,37.00
Mozambique,,,,,,,,,,22.00,,141.31,5.94,7.35,,,,,,,,,,,,,36.00
Japan,36.25,53.45,82.35,31.47,27.71,43.17,35.64,51.35,64.49,131.94,57.69,57.99,62.95,63.74,92.48,61.30,8.29,61.96,56.58,49.11,52.82,51.44,35.99,39.28,31.00,,27.00
South Korea,,,,,,,,,0.13,,,,,0.18,,,,155.87,0.59,4.13,2.81,7.04,2.03,7.35,,322.07,4.00
Kenya,,117.00,43.00,,,,97.44,175.01,,,,,,,16.26,23.50,,,219.59,,,,,,,,
Zimbabwe,,129.00,,,,,,,24.20,,,36.60,,,,,,,,,,,,,,,
Venezuela,,,176.82,146.72,57.48,50.40,6.61,,,,,,,,,,,,,,,,,,,,
Cape Verde Islands,,,,,,5.00,7.24,3.85,,,,5.25,4.87,,,,,,,,,,,,,,
Italy,,,,,,1.50,,,,,,,,,,,,,,,,,0.91,,,626.88,
Philippines,,,,,,,26.40,34.95,,53.75,33.00,,,,,,,,,,0.07,,,,,,
Cameroon,,,,,,,2.89,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,32.01,,,,,,,,14.05,6.26,,,,,,,,,,,
Tanzania,,,,,,,,19.19,99.50,,,,,,,132.84,,,,,,,,,,,
Nicaragua,,,,,,,,,,,5.26,12.08,,3.99,10.24,4.71,,,4.30,,,,,,,,
Panama,,,,,,,,,,,8.99,,,3.20,6.37,,,,,,,,,,,383.83,
Israel,,,,,,,,,,,,,,90.92,,,,17.78,,,,,,,,,
Portugal,,,,,,,,,,,,,,,4.20,,,0.04,0.04,0.06,0.07,,,,,,
China (Taiwan),,,,,,,,,,,,,,,,0.08,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,0.25,0.06,0.04,0.04,0.02,,,,,,,
Jordan,,,,,,,,,,,,,,,,0.08,0.02,0.10,0.06,0.08,0.07,,,,,,
Namibia,,,,,,,,,,,,,,,,5.59,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,26.76,130.00,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,338.92,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,494.21,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,286.09,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,273.04,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,265.29,
All other countries,7.39,41.00,40.00,48.00,18.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.07,0.28,0.00,66.60,19.00,"-2,461.76",3.63
World,89.97,490.16,506.23,675.86,601.50,745.91,552.39,745.95,"1,338.14","1,604.00","1,527.44","1,682.54",609.52,770.64,740.37,843.41,183.65,914.07,830.18,880.46,"1,006.23",796.40,298.03,847.80,"1,377.00","1,805.59","1,592.63"
"1/ Based on inspection data. Market year is September-August.
2/ May not add due to rounding.
Source: USDA, Agricultural Marketing Service, Grain and Feed Market News.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
