"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Brazil,10,0,53,715,27,635,599,665,"1,135",554,"2,036",593,137,27,"1,424","1,353","1,337",950,0,0,0,700,450,300,56,0,0,0,0,0,0,0,9,4,54,217,357,6,8,7,"3,744","3,857","3,181","5,818","1,431","2,826","8,071","7,883","7,178","8,623","11,582","12,674","26,044","22,041","21,909","35,382","19,794","25,142","29,500"
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500","1,300",600,350,150,100,2,0,58,22,593,365,55,397,349,811,"1,238","2,334","2,464","1,027","2,074","5,497","5,072","5,008","15,208","12,726","20,004","19,661","16,595","21,334","18,036","29,000"
,Argentina,"1,897","2,253","2,723","2,452","3,442","2,923","5,082","3,186","3,968","4,346","5,333","4,801","2,832","5,105","5,831","2,595","5,385","6,377","6,200","3,460","9,016","4,922","6,483","5,885","7,072","7,430","3,953","4,208","2,676","2,873","3,588","5,888","4,790","4,230","6,046","6,952","10,210","12,756","7,848","8,859","12,229","8,581","12,349","10,439","13,752","10,719","15,734","15,676","8,466","16,973","15,198","16,501","22,789","12,846","18,448","21,679","22,951","22,959","27,500"
,"Russian Federation, Begins 2/1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,500,100,150,400,300,100,4,1,0,0,16,13,0,1,0,12,0,44,53,77,49,"1,331",427,37,"2,027","1,917","4,194","3,213","4,691","5,589","5,532","3,000"
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,128,"1,467","1,343","2,004","2,325",578,"1,780","2,964","1,560","2,414",819,"2,700"
,Paraguay,10,8,5,9,8,1,9,3,0,23,16,5,0,5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,90,230,124,216,103,126,309,526,206,751,622,371,"1,253","1,909","1,412","1,847","1,359","1,201","2,188","2,858","2,714","3,012","2,662","1,757","1,476","2,200"
,Canada,2,2,1,2,7,9,2,2,2,7,3,32,11,5,4,205,208,323,175,375,"1,048","1,104",493,316,563,683,115,426,11,25,190,939,190,483,351,613,318,133,830,449,127,211,306,369,247,243,322,944,366,186,"1,658",494,"1,813","1,939",395,"1,767","1,544","1,973","1,600"
,Republic Of South Africa,"1,041","1,820","2,694","2,580",892,426,824,"3,107","2,168","1,096",915,"2,829","3,181",371,"3,324","1,366","1,366","2,757","2,424","3,219","4,127","4,761","2,376",192,150,"1,470","2,583",589,"1,965","3,067",739,797,23,"3,261","2,259","1,756","1,581","1,041",798,836,"1,415","1,182","1,141",797,"1,517","1,406",431,"1,124","2,111","1,586","2,839","1,831","2,398","2,104",746,759,"1,816","2,361","1,600"
,EU-28,"1,550","1,612","1,574","2,639","2,567","2,695","3,023","2,602","3,509","3,821","5,289","5,240",647,"1,342","1,583","3,184","1,013","1,199",868,"1,390","1,250","1,521","2,034","1,732","1,459",686,"2,329","1,366","2,949","1,545",155,"2,847","1,865","2,129","1,317",804,"1,977","2,842","2,659","1,241",456,"1,196",767,348,681,458,604,508,"1,873","1,569","1,096","3,287","2,194","2,404","4,027","1,953","2,189","1,749","1,500"
,Myanmar (Burma),25,14,30,8,11,15,14,10,10,10,12,13,0,4,5,4,6,10,0,0,19,7,30,20,25,25,25,2,1,14,28,29,51,34,70,37,24,33,25,25,41,119,113,144,250,85,125,125,400,300,175,200,750,"1,100","1,250","1,000","1,100","1,200","1,200"
,Mexico,53,2,1,0,945,"1,327","1,047",799,"1,021",152,297,480,95,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,113,74,72,123,258,16,8,17,164,7,5,27,209,217,109,162,642,87,694,522,501,784,"1,559","1,539",958,"1,000"
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,140,210,70,60,20,10,11,14,7,39,52,50,50,17,23,84,39,21,25,0,35,35,130,75,25,375,260,260,220,400,700
,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,5,6,5,5,0,0,0,1,4,28,36,17,42,8,7,2,13,92,25,50,"1,222",481,497,582,"5,077","2,551","1,917","3,376","4,671","4,799","3,889","1,185",551,553,"1,076",500
,Vietnam,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,25,45,8,27,96,49,30,84,52,94,30,66,19,4,0,0,103,12,3,76,3,0,1,10,1,0,0,5,5,400,500,500,500,500,500
,Zambia,,1,1,1,0,24,44,119,127,30,0,0,9,39,111,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,9,0,0,0,0,0,0,0,0,100,150,25,175,100,0,100,300,500,500,200,700,700,600,700,400
,Cambodia,140,106,131,86,100,101,106,80,73,54,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,200,200,175,250,300,200,200,100,200,300,300,200,200,300,350,350
,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0,0,5,5,0,100,10,60,100,75,125,250,250,250,250,200,150,300,250,300,200,300
