Table 28--Rail rates and grain shipments,,,,,,,,,,,,,,,
Year,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,CY Jan-Dec,
"Producer price index, line-haul railroads, all products (1984=100)",1969,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,26.60,28.10,26.70,
,1970,28.10,28.10,28.10,28.10,28.10,29.40,29.40,29.40,29.40,29.40,29.40,31.80,29.10,
,1971,31.80,31.90,31.90,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,32.90,32.70,
,1972,32.90,33.60,33.60,33.70,33.70,33.70,33.70,33.70,33.70,33.60,34.00,34.00,33.70,
,1973,34.00,34.00,34.00,34.00,34.00,34.00,34.10,34.10,35.00,35.70,35.70,35.70,34.50,
,1974,36.00,36.70,38.20,38.50,38.50,38.70,42.10,42.10,42.20,42.20,42.20,42.30,40.00,
,1975,42.30,42.30,42.30,42.30,44.30,44.30,46.80,46.90,46.90,48.10,48.30,48.30,45.30,
,1976,48.30,48.40,48.40,49.50,50.00,50.00,50.00,50.10,50.10,51.00,51.00,51.20,49.80,
,1977,52.90,52.90,52.90,53.00,52.90,52.90,53.00,53.00,53.00,53.00,53.00,55.40,53.20,
,1978,55.40,55.40,55.50,55.50,55.50,55.60,57.50,57.60,57.60,57.60,57.80,61.70,56.90,
,1979,62.00,62.00,62.20,62.40,62.40,63.20,64.10,64.80,65.60,70.20,70.30,70.40,65.00,
,1980,70.40,71.20,71.60,74.40,74.40,75.10,77.50,77.70,79.50,79.60,79.80,80.10,75.90,
,1981,83.80,84.70,85.70,85.60,85.80,86.50,88.80,88.90,88.90,90.10,90.10,90.10,87.40,
,1982,93.40,93.50,93.50,93.70,93.70,93.70,93.90,93.90,93.90,93.90,93.90,93.90,93.70,
,1983,94.80,94.80,94.80,94.80,94.80,94.80,94.90,94.90,94.90,95.30,95.30,95.30,95.00,
,1984,98.90,98.90,99.00,99.00,99.00,99.00,99.40,99.40,99.40,99.90,99.90,100.00,99.30,
,1985,100.00,100.00,100.00,100.00,100.00,99.90,99.80,99.80,100.00,99.90,100.00,99.90,99.90,
,1986,101.00,101.00,101.00,101.00,100.80,100.90,100.80,100.70,100.60,100.40,100.50,99.80,100.70,
,1987,99.80,99.80,99.80,100.10,100.20,100.20,100.10,100.30,100.10,100.20,100.20,100.10,100.10,
,1988,103.20,103.20,103.20,105.20,105.20,104.90,105.20,105.40,105.40,105.40,105.40,105.40,104.80,
,1989,105.80,105.90,105.90,106.00,106.00,106.30,106.90,106.80,106.80,106.80,106.90,106.90,106.40,
