"Table 29--Processed feeds: Quantities fed and feed per grain-consuming animal unit (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed 1/,,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,1974/75,2019/20,1949/50,1950/51,1951/52,1952/53,1953/54,1954/55,1955/56,1956/57,1957/58,1958/59,1959/60,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74
Energy feeds,Corn (Sep-Aug),"90,981","91,492","94,740","108,574","115,907","107,501","107,816",,"116,166","98,462","104,513","104,505","118,356","121,652","99,926","111,320","117,072","121,873","133,409","118,874","138,682","119,150","133,992","138,382","138,432","143,259","147,807","148,475","140,838","146,759","155,751","155,235","140,604","148,674","130,260","129,434","121,167","114,612","109,445","127,112","134,307","129,998","138,936","134,733","136,531",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sorghum (Sep-Aug),"12,551","10,442","11,370","13,665","12,583","8,194","10,596",,"12,571","9,777","13,700","16,863","13,749","14,252","11,987","12,912","10,179","9,293","11,614","11,178","9,577","7,495","13,106","9,270","6,652","7,230","5,652","5,843","4,328","4,623","4,859","3,548","2,868","4,188","5,997","3,580","3,117","1,757","2,375","2,354","2,078","2,650","3,372","2,471","3,683",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barley (Sep-Aug),"4,099","3,456","4,158","4,723","4,257","3,611","4,580",,"5,809","6,053","6,321","7,094","6,154","5,996","4,228","3,776","4,726","5,001","3,722","5,952","4,846","4,634","3,642","3,586","3,076","3,428","2,350","2,102","1,999","1,723","1,428","1,041","1,360",887,974,930,907,"1,232","1,781","1,136",543,839,793,107,295,"1,333",,,,,,,,,,,,,,,,,,,,,,,,,,
,Oats (Sep-Aug),"7,795","7,377","7,531","7,664","6,848","6,527","6,208",,"6,672","6,724","6,550","6,486","5,553","4,638","3,532","5,218","4,303","3,879","3,625","3,924","3,432","2,773","2,880","3,088","3,036","2,809","2,946","2,250","2,518","2,279","2,215","2,137","2,088","2,037","1,948","1,811","1,544","1,474","1,523","1,609","1,591","1,520","1,184","1,158","1,261","2,500",,,,,,,,,,,,,,,,,,,,,,,,,,
,Wheat (Sep-Aug),368,"5,291","4,252","3,125","2,613","4,238","3,297",,"7,068","12,374","9,879","10,914","11,232","5,677","3,626","7,454","12,024","6,293","3,908","9,585","7,440","6,155","7,681","8,798","6,379","8,943","5,999","3,500","6,700","4,121","4,850","2,720","4,601","4,481","3,109","2,880","1,921","9,809","10,480","1,724","4,233","3,195","1,628","2,081","3,012",567,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total energy feeds,"115,793","118,057","122,051","137,752","142,207","130,072","132,497",,"148,285","133,389","140,963","145,862","155,044","152,215","123,299","140,681","148,303","146,338","156,279","149,512","163,976","140,208","161,301","163,124","157,575","165,671","164,753","162,169","156,383","159,505","169,103","164,681","151,521","160,267","142,288","138,636","128,656","128,885","125,603","133,935","142,753","138,202","145,913","140,551","144,782",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oilseed meals,Soybean meal (Oct-Sep) 2/,,,,,,,,,,,,,"18,539","19,343","17,686","20,134","20,661","20,733","21,850","22,827","23,974","24,085","24,694","25,964","27,305","27,288","28,362","29,545","29,097","28,530","30,446","30,114","31,166","30,148","27,898","27,795","27,489","28,614","26,307","26,776","29,282","30,044","30,318","32,207","32,613",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cottonseed meal (Oct-Sep),,,,,,,,,,,,,594,899,831,"2,056","2,416","2,825","2,332","2,393","2,965","2,686","2,824","2,682","2,298","2,638","2,590","3,030","2,441","2,527","3,133","3,044","2,766","2,349","1,639","1,592","2,224","2,183","2,133","1,630","1,991","1,609","2,000","2,328","2,182",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rapeseed (canola) meal (Oct-Sep),,,,,,,,,,,,,,,,293,389,594,638,936,968,"1,146","1,116","1,585","1,487","1,591","1,553","1,237","1,240","1,876","1,854","1,983","1,992","2,343","2,290","1,800","2,694","3,405","3,863","4,309","4,437","4,517","4,550","4,190","4,396",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Linseed meal (Jun-May),,,92,92,60,84,47,,73,95,109,100,111,123,90,122,109,112,92,99,92,117,135,168,153,171,178,112,161,179,187,244,249,190,117,190,190,176,180,138,192,178,173,150,157,,160,,,,,,,,,,,,,,,,,,,,,,,,,
,Peanut meal (Aug-Jul),,,,,,,,,,,,,,,,112,103,156,161,103,175,164,128,86,85,127,103,137,161,111,86,106,108,105,93,83,102,99,112,118,128,131,161,130,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunflower meal (Oct-Sep),,,,,,,,,,,,,,,,271,306,450,401,288,564,434,419,482,524,520,444,354,230,307,132,291,324,318,335,376,255,179,219,243,192,261,266,237,245,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total oilseed meals,,,92,92,60,84,47,,73,95,109,100,"19,244","20,365","18,607","22,988","23,984","24,870","25,475","26,646","28,738","28,632","29,315","30,966","31,853","32,335","33,229","34,415","33,330","33,529","35,837","35,783","36,605","35,453","32,371","31,837","32,952","34,655","32,815","33,213","36,223","36,740","37,468","39,241","39,716",,160,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal-protein feeds,Meat and bone meal tankage (Sep-Aug),,,,,,,,,,,,,,,,"2,317","1,872","2,713","2,166","2,204","2,456","2,394","2,369","2,253","2,439","2,069","1,925","1,750","1,721","1,906","1,984","2,062","2,154","2,147","2,088","2,050","1,839",NA,NA,NA,607,"2,354","2,092","2,307","2,307",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fishmeal and solubles (Sep-Aug),,,,,,,,,,,,,,,,274,253,251,422,649,338,255,282,260,296,249,214,255,234,186,172,187,194,178,165,161,271,180,180,180,180,180,180,180,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milk products (Oct-Sep),212,226,263,290,276,276,303,,361,368,386,374,399,411,405,418,412,426,421,426,420,381,388,373,248,277,275,227,393,337,234,218,286,323,331,306,396,420,334,198,225,225,225,225,225,141,,7,7,10,10,9,8,8,8,9,10,11,13,14,11,9,11,12,13,12,8,5,5,5,6,4
,Total animal-protein feeds,212,226,263,290,276,276,303,,361,368,386,374,399,411,405,"3,009","2,537","3,391","3,008","3,280","3,214","3,030","3,039","2,886","2,982","2,595","2,413","2,232","2,349","2,429","2,390","2,468","2,635","2,649","2,584","2,518","2,506",414,318,215,"1,012","2,759","2,497","2,712","2,712",141,,7,7,10,10,9,8,8,8,9,10,11,13,14,11,9,11,12,13,12,8,5,5,5,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain-protein feeds,Corn gluten feed and meal (Sep-Aug),,,,,,,,,,,,,,,,174,6,531,540,827,106,799,"1,663","1,670","1,224","1,087","1,299","1,338","2,064","2,197","2,625","3,187","4,194","4,137","4,687","4,720","4,567","5,237","5,178","5,127","5,295","5,371","5,362","5,141","5,319",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total grain-protein feeds 3/,,,,,,,,,,,,,,,,174,6,531,540,827,106,799,"1,663","1,670","1,224","1,087","1,299","1,338","2,064","2,197","2,625","3,187","4,194","4,137","4,687","4,720","4,567","5,237","5,178","5,127","5,295","5,371","5,362","5,141","5,319",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other byproduct feeds,Wheat millfeeds (Sep-Aug),,,,,,,,,,,,,,,,"5,550","5,947","6,184","6,273","6,730","6,599","6,604","6,400","6,394","6,365","6,627","6,647","6,257","6,287","6,155","6,131","6,203","6,218","6,119","5,928","5,795","5,500","5,596","5,695","5,689","5,942","5,848","5,741","5,722","8,256",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rice millfeeds (Aug-Jul),,,,,,,,,,,,,,,,621,601,589,580,592,659,600,560,545,592,650,627,618,628,543,558,592,497,526,496,520,658,580,593,585,805,870,17,525,525,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fats and oils (Sep-Aug),,,,,,,,,,,,,,,,979,846,"1,029",982,"1,053","1,051","1,113","1,124","1,280","1,409","1,263","1,195","1,228","1,222","1,310","1,448","1,427","1,354","1,301","1,081",878,779,905,905,905,"1,310","4,212","4,383",905,905,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous byproduct feeds (Sep-Aug) 4/,,,537,524,530,511,544,,584,638,709,791,895,976,"1,107","1,202","1,248","1,363","1,376","1,390","1,404","1,418","1,432","1,446","1,461","1,476","1,490","1,506","1,521","1,536","1,552","1,567","1,583","1,588","1,592","1,597","1,589","1,628","1,542","1,582","1,600","1,621","1,689","1,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total other byproduct feeds 5/,,,537,524,530,511,544,,584,638,709,791,895,976,"1,107","8,353","8,642","9,165","9,212","9,765","9,713","9,736","9,517","9,666","9,827","10,015","9,959","9,609","9,658","9,544","9,690","9,789","9,652","9,534","9,098","8,790","8,526","8,709","8,735","8,761","9,656","12,552","11,831","9,014","9,686",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed per GCAU 6/,Energy feeds,1.62,1.61,1.63,1.78,1.82,1.70,1.81,,1.97,1.79,1.88,1.96,2.09,1.98,1.61,1.82,1.85,1.81,1.89,1.78,1.94,1.65,1.89,1.85,1.79,1.86,1.84,1.81,1.77,1.78,1.88,1.80,1.63,1.69,1.53,1.51,1.39,1.38,1.36,1.48,1.54,1.47,1.52,1.42,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All feeds,1.62,1.62,1.65,1.80,1.83,1.71,1.83,,1.99,1.80,1.89,1.98,2.36,2.27,1.87,2.26,2.29,2.28,2.34,2.26,2.43,2.14,2.39,2.36,2.30,2.37,2.36,2.33,2.31,2.31,2.43,2.36,2.20,2.23,2.05,2.03,1.91,1.91,1.87,2.00,2.10,2.07,2.12,1.98,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ Adjusted for stocks, production, foreign trade, and nonfeed uses where applicable. Latest data may be preliminary or projected.
2/ Includes use in edible soy products and shipments to U.S. territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3/ Excludes brewers' dried grains and distillers' dried grains due to unavailability of production data.
4/ Includes hominy feed, oat millfeeds, and screenings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5/ Excludes dried beet pulp, molasses beet pulp, and inedible molasses due to unavailability of production data.
6/ GCAU = Grain-consuming animal unit.
Source: USDA, World Agricultural Outlook Board, World Agricultural Supply and Demand Estimates; U.S. Department of Commerce, Bureau of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"the Census, Fats and Oils: Production, Consumption, and Stocks (M311K), Flour Milling Products (MQ311A), Flour Milling (EC02-311-311211),
and Wet Corn Milling (EC02-31I-311221); U.S. Department of Commerce, National Oceanic and Atmospheric Administration, Fishery Market
News; Rice Millers Association; Whey Products Institute; and ERS calculations of feed per GCAU.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
