"Table 31--Corn: Food, seed, and industrial use (million bushels)",,,,,,,,,
Mkt year and qtr 1/,,High-fructose corn syrup (HFCS),Glucose and dextrose,Starch,Alcohol for fuel,Alcohol for beverages and manufacturing,Cereals and other products,Seed,"Total food, seed, and industrial use"
1980/81,Q1 Sep-Nov,,,,,,,,154.50
,Q2 Dec-Feb,,,,,,,,144.70
,Q3 Mar-May,,,,,,,16.20,182.60
,Q4 Jun-Aug,,,,,,,4.00,177.40
,MY Sep-Aug,165.00,156.00,151.00,35.00,78.00,54.00,20.20,659.20
,,,,,,,,,
1981/82,Q1 Sep-Nov,,,,,,,,173.30
,Q2 Dec-Feb,,,,,,,,165.40
,Q3 Mar-May,,,,,,,16.00,201.30
,Q4 Jun-Aug,,,,,,,3.40,193.40
,MY Sep-Aug,183.00,160.00,146.00,86.00,86.00,53.00,19.40,733.40
,,,,,,,,,
1982/83,Q1 Sep-Nov,,,,,,,,207.50
,Q2 Dec-Feb,,,,,,,,192.40
,Q3 Mar-May,,,,,,,11.60,227.80
,Q4 Jun-Aug,,,,,,,2.90,226.80
,MY Sep-Aug,214.00,165.00,150.00,140.00,110.00,60.00,14.50,853.50
,,,,,,,,,
1983/84,Q1 Sep-Nov,,,,,,,,227.40
,Q2 Dec-Feb,,,,,,,,212.30
,Q3 Mar-May,,,,,,,16.80,252.50
,Q4 Jun-Aug,,,,,,,2.30,237.90
,MY Sep-Aug,265.00,167.00,161.00,160.00,88.00,70.00,19.10,930.10
,,,,,,,,,
1984/85,Q1 Sep-Nov,,,,,,,,244.10
,Q2 Dec-Feb,,,,,,,,236.10
,Q3 Mar-May,,,,,,,17.00,294.40
,Q4 Jun-Aug,,,,,,,4.20,292.60
,MY Sep-Aug,310.00,167.00,172.00,232.00,84.00,81.00,21.20,"1,067.20"
,,,,,,,,,
1985/86,Q1 Sep-Nov,,,,,,,,276.30
,Q2 Dec-Feb,,,,,,,,262.40
,Q3 Mar-May,,,,,,,16.10,307.30
,Q4 Jun-Aug,,,,,,,3.40,306.50
,MY Sep-Aug,327.00,169.00,190.00,271.00,83.00,93.00,19.50,"1,152.50"
,,,,,,,,,
1986/87,Q1 Sep-Nov,76.40,45.35,54.88,67.94,22.72,27.18,,294.47
,Q2 Dec-Feb,72.04,37.88,52.50,71.51,20.68,26.88,,281.49
,Q3 Mar-May,88.86,42.54,52.48,77.43,27.43,27.47,16.40,332.61
,Q4 Jun-Aug,100.69,45.24,54.27,73.10,23.76,27.47,0.30,324.83
,MY Sep-Aug,338.00,171.00,214.13,289.99,94.59,109.00,16.70,"1,233.41"
,,,,,,,,,
1987/88,Q1 Sep-Nov,78.94,43.63,55.61,67.25,22.54,28.17,,296.13
,Q2 Dec-Feb,75.62,38.66,54.59,69.09,21.77,27.86,,287.58
,Q3 Mar-May,95.43,43.72,57.68,72.96,21.87,28.48,16.70,336.84
,Q4 Jun-Aug,108.01,46.99,58.61,69.85,18.64,28.48,0.50,331.09
,MY Sep-Aug,358.00,173.00,226.49,279.15,84.81,113.00,17.20,"1,251.65"
,,,,,,,,,
1988/89,Q1 Sep-Nov,81.46,46.23,55.09,70.85,19.49,29.17,,302.29
,Q2 Dec-Feb,77.20,40.49,51.35,76.47,27.00,28.85,,301.35
,Q3 Mar-May,98.03,46.39,53.92,72.52,35.88,29.49,16.70,352.93
,Q4 Jun-Aug,104.31,48.89,54.28,67.61,34.91,29.49,1.70,341.19
,MY Sep-Aug,361.00,182.00,214.63,287.45,117.28,117.00,18.40,"1,297.76"
,,,,,,,,,
1989/90,Q1 Sep-Nov,81.35,47.05,52.15,63.65,37.83,29.92,,311.94
,Q2 Dec-Feb,79.07,42.90,52.47,80.47,28.40,29.59,,312.91
,Q3 Mar-May,99.56,50.61,57.44,89.47,31.98,30.25,16.70,376.01
,Q4 Jun-Aug,108.03,52.44,57.23,87.86,31.19,30.25,2.20,369.19
,MY Sep-Aug,368.00,193.00,219.29,321.45,129.40,120.00,18.90,"1,370.04"
,,,,,,,,,
1990/91,Q1 Sep-Nov,84.47,51.30,55.45,76.17,39.22,30.92,,337.53
,Q2 Dec-Feb,81.86,44.83,52.83,86.99,32.79,30.58,,329.87
,Q3 Mar-May,102.46,50.18,54.68,90.88,36.99,31.26,17.60,384.04
,Q4 Jun-Aug,110.21,53.69,55.60,95.04,26.19,31.26,1.70,373.68
,MY Sep-Aug,379.00,200.00,218.56,349.07,135.19,124.00,19.30,"1,425.12"
,,,,,,,,,
1991/92,Q1 Sep-Nov,87.51,52.82,56.01,97.73,34.55,31.83,,360.45
,Q2 Dec-Feb,87.04,47.08,54.76,100.22,41.29,31.83,,362.22
,Q3 Mar-May,106.62,54.19,57.21,100.88,43.57,32.18,19.90,414.53
,Q4 Jun-Aug,110.65,55.56,56.69,99.43,41.49,32.18,0.30,396.30
,MY Sep-Aug,391.82,209.65,224.66,398.26,160.91,128.00,20.20,"1,533.51"
,,,,,,,,,
