"Table 32--U.S. exports of ethyl alcohol by selected destinations (1,000 liters)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/region 1/,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Brazil,"483,813","195,161","12,746",6,"501,525","489,209","176,874","96,820",102,29,447,"21,681",102,5,180,421,553,54,116,51,"58,501","596,423","1,189,378","123,808","350,190","529,737","491,212","1,813,435","1,759,845"
Canada,234,"1,052","1,141","3,643","7,283","12,235","21,998","32,004","49,840","43,583","57,496","99,284","52,767","79,943","112,032","97,932","104,688","275,900","550,070","236,869","320,270","902,357","1,156,986","1,253,496","1,324,872","1,166,378","1,184,855","1,259,120","1,275,348"
India,5,,,,3,8,137,82,162,159,,18,,146,10,"17,517",37,378,508,140,"51,087","58,391","38,728",646,"116,235","203,617","282,366","521,942","627,473"
European Union-27,"19,272","26,384","16,859","50,792","102,318","72,889","127,706","129,084","23,932","10,295","12,020","18,233","4,277","8,241","16,031","49,561","35,113","66,205","84,876","40,718","288,663","866,965","936,493","252,786","151,458","172,866","77,048","113,428","414,986"
China (Mainland),,144,73,49,179,620,193,,51,"4,993",468,57,"3,795",53,119,651,459,102,54,73,529,"1,242",461,339,"26,084","58,133","790,681","185,619","377,955"
South Korea,"7,539",372,89,169,592,"15,957","9,511",536,"7,903","1,998","2,756","3,740","3,818","3,468","1,671","3,038","1,541",727,"2,705","1,674","19,905","8,079","52,709","1,453","95,012","224,083","179,019","179,051","263,809"
Philippines,,,,12,11,85,17,,306,271,425,147,2,143,45,85,8,300,489,396,"11,338","45,042","32,367","89,649","212,266","311,068","256,009","245,607","254,482"
Peru,,,,28,,2,15,5,2,,11,39,,,67,34,2,83,,,67,"16,297","115,400","103,589","88,416","70,616","144,755","187,269","182,862"
United Arab Emirates,,7,,19,8,203,202,,,350,"5,389","4,586","9,653","4,215",,111,580,275,296,"78,026","55,708","253,664","145,122","94,471","235,296","179,727","49,780","172,309","179,473"
Colombia,14,9,38,11,19,,5,196,46,99,40,156,20,556,79,1,24,161,56,113,154,385,447,"4,134","19,245","8,248","8,372","52,012","141,920"
