"Table 33--U.S. imports of ethyl alcohol by selected sources (1,000 liters)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/region 1/,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Brazil,,,"3,958","32,526","16,129","18,143","11,355","29,085","3,976",,"36,217","9,918","26,851","33,492","356,672","209,239","1,235,966","1,401,298","711,298","377,003","359,141","370,828","1,277,320","2,425,909","896,698","669,312","1,029,501","773,889","895,421"
Canada,"16,522","9,193",4,3,20,40,529,"1,447","6,117","17,693","30,427","46,355","45,328","35,243","39,041","49,416","56,439","93,558","71,081","86,061","108,169","68,919","49,272","43,679","49,223","51,853","61,234","58,497","51,221"
Sub-Saharan Africa,,,,,,,,557,"3,994",,"4,489","43,178","40,296","45,623","45,317","38,673","58,114","56,436","45,648","37,313","35,109","25,834","21,657","26,016","25,695","23,362","22,364","22,505","25,210"
Caribbean Basin (CBERA),"57,342","117,344","100,800","124,196","166,181","237,884","182,368","101,704","123,381","142,399","231,957","164,597","162,317","225,191","275,455","233,488","598,216","908,918","1,031,504","898,909","142,245","178,906","315,171","468,780","41,059","7,008","7,021",46,"5,985"
European Union-27,"20,725","25,851","43,871","37,936","31,161","25,583","34,982","30,467","16,022","21,100","25,691","7,066","33,255","44,400","41,951","36,417","39,098","22,327","25,866","17,402",918,827,"2,137","2,741","19,862","43,090","7,769","5,118","4,391"
Former Soviet Union-12,,,,,,"4,130",,,,,,,,,,,,363,0,,,0,,,,"1,973",,,"1,318"
Paraguay,,,,,,,,,,,,,,,,,,,56,,,8,,14,"4,871",837,"1,117","1,181",712
Colombia,,,,,,,,,,,,,,,,789,,,,,,,,,,,,37,92
Other Europe,2,1,1,"2,860","14,901","4,757",,0,,,,0,,0,0,0,1,0,,105,0,0,6,6,1,0,199,24,24
Israel,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,20
India,,,,,,,,,,,,,,,,,,,,,,,,137,47,,,2,13
China (Mainland),,,,,,,,8,,2,,"11,236",,,,16,"64,227","83,274",,,186,209,1,0,67,46,57,19,5
China (Taiwan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Argentina,"27,951","22,329","33,600","29,287","24,600","21,217","22,444","135,576","77,181","100,886","29,530","24,930","30,778","30,476","28,861","14,507","21,341","30,987","11,849","20,360","17,777",818,810,515,925,374,,,
Australia (No Islands),,,,,,,,,47,117,141,48,211,353,282,279,,0,361,314,194,122,48,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,
Bolivia,,,,,,,,,,,,298,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,89,,,,23,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,23,,23,24,48,,
Fiji,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,
Indonesia,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,2,2,0,,72,91,110,8,1,,,,0,,35,35,0,,41,50,163,0,0,,,,0,
Lebanon,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Mexico,,,,,,61,144,"4,165",38,23,,488,"1,125",,,,16,44,"4,305",763,4,4,0,,,,,,
Oman,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,"14,938","6,555",,,,,47,23,81,,,,
Saudi Arabia,"305,029","242,886","205,864","313,396","371,007","316,727","311,928","285,038","335,635","287,491","289,749","247,000","218,170","295,281","91,832",,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,"3,744",,,
South Korea,,,,,,,,,,0,,,,,,6,9,16,0,,,,,,,,,,
Total 2/,"428,206","417,606","388,099","540,204","623,999","628,614","563,841","588,159","566,999","569,712","648,201","555,114","558,330","710,148","879,411","582,864","2,088,399","2,603,799","1,901,969","1,438,271","663,832","646,638","1,666,493","2,967,823","1,038,552","801,624","1,129,309","861,319","984,412"
"1/ Market year is September-August.
2/ May not add due to rounding.
Source: U.S. Department of Commerce, Bureau of the Census, Foreign Trade Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
