"Table 35--U.S. imports of brewers' and distillers' dregs and waste by selected sources (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/region 1/,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Canada,81.65,73.24,55.91,52.87,61.6,50.51,54.66,46.96,72.83,109.26,140.65,123.0,112.34,105.72,105.89,115.68,110.97,180.74,139.62,250.94,408.66,425.44,337.46,381.19,454.48,396.63,324.8,274.19,300.08
Brazil,,,,,,,,,.08,.69,.02,,,,,.48,6.17,9.91,5.07,,,3.17,10.16,31.33,16.78,13.93,7.39,14.61,13.77
China (Mainland),,,,,,,,,,,,,,,,,.04,,.31,,,,1.81,2.33,5.21,18.43,6.22,7.48,13.49
Vietnam,,,,,,,,,9.52,,,,,,,,,,,,,,1.13,,,,,,.3
Argentina,,,,,,,,.06,,.37,.06,,,,,,,,,,,,,,,,,,
Bahamas,5.67,,.35,,,8.01,1.8,3.31,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,9.07,13.14,9.71,8.76,7.39,4.77,.66,,,,,,,,,,,,,,,,,
European Union-27,16.89,14.98,28.08,11.92,26.27,30.0,6.37,43.87,6.2,12.55,.04,,,.14,.19,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,.36,,
Japan,.0,,,,,,,.0,,,,.0,,.02,,,,,,,,,,,,,,,
Mexico,,,,,,,,.03,,,,,,,,,,,,,,,,,,,,,
Other Europe,.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,4.03,14.12,8.09,,,,,,,,,,,,,,,,,,,,
Thailand,,,1.01,.57,.34,.98,1.94,1.09,.61,.37,1.03,2.19,.17,,,,,,,,,,,,,,,,
Turkey,,,,,,5.34,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,.02,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,3.95,,3.01,,,,,,,,,,,,,,,,,,,
Total 2/,104.22,88.22,85.35,65.35,88.21,103.91,81.94,123.1,106.09,133.63,146.59,125.86,112.5,105.88,106.08,116.16,117.17,190.65,145.0,250.94,408.66,428.61,350.56,414.85,476.48,428.99,338.76,296.28,327.64
"1/ Market year is September-August.
2/ May not add due to rounding.
Source: U.S. Department of Commerce, Bureau of the Census, Foreign Trade Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
