Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.56,-.39,-.27,-.38,-.12,-.24,-.24,-.25,-.28,-.33,-.38,-.49,-.33,***,***,-.25,-.24,-.33
1881,-.20,-.25,.01,-.03,-.06,-.37,-.07,-.04,-.24,-.41,-.43,-.29,-.20,-.22,-.32,-.03,-.16,-.36
1882,.21,.21,-.01,-.37,-.33,-.39,-.38,-.15,-.18,-.54,-.33,-.43,-.22,-.21,.05,-.24,-.31,-.35
1883,-.60,-.69,-.17,-.29,-.34,-.26,-.10,-.27,-.34,-.22,-.41,-.26,-.33,-.34,-.57,-.26,-.21,-.32
1884,-.23,-.12,-.65,-.63,-.42,-.52,-.48,-.51,-.45,-.41,-.48,-.40,-.44,-.43,-.20,-.57,-.50,-.45
1885,-1.00,-.37,-.21,-.53,-.56,-.48,-.39,-.45,-.33,-.30,-.28,.00,-.41,-.44,-.59,-.43,-.44,-.30
1886,-.68,-.68,-.57,-.35,-.35,-.44,-.20,-.47,-.35,-.32,-.45,-.17,-.42,-.40,-.45,-.42,-.37,-.37
1887,-1.07,-.59,-.37,-.43,-.28,-.21,-.23,-.52,-.18,-.41,-.20,-.44,-.41,-.39,-.61,-.36,-.32,-.26
1888,-.53,-.60,-.58,-.25,-.16,-.04,.03,-.20,-.12,.03,-.03,-.26,-.23,-.24,-.52,-.33,-.07,-.04
1889,-.32,.34,.06,.14,-.06,-.13,-.10,-.17,-.26,-.34,-.61,-.56,-.17,-.14,-.08,.05,-.13,-.41
1890,-.65,-.56,-.44,-.37,-.49,-.21,-.24,-.38,-.41,-.08,-.70,-.44,-.41,-.42,-.59,-.43,-.28,-.39
1891,-.59,-.68,-.12,-.32,-.21,-.15,-.12,-.09,-.03,-.26,-.56,-.03,-.26,-.30,-.57,-.22,-.12,-.28
1892,-.45,-.16,-.56,-.48,-.28,-.11,-.38,-.28,-.13,-.22,-.81,-.65,-.38,-.32,-.21,-.44,-.26,-.39
1893,-1.47,-.89,-.28,-.30,-.44,-.22,-.13,-.34,-.22,-.23,-.25,-.64,-.45,-.45,-1.00,-.34,-.23,-.24
1894,-.86,-.43,-.21,-.59,-.33,-.48,-.24,-.23,-.26,-.24,-.47,-.31,-.39,-.41,-.64,-.38,-.32,-.32
1895,-.73,-.77,-.39,-.24,-.30,-.26,-.18,-.25,.02,-.04,-.05,-.24,-.29,-.29,-.60,-.31,-.23,-.03
1896,-.44,-.21,-.49,-.60,-.22,.01,-.02,-.06,-.05,.14,-.25,-.18,-.20,-.20,-.29,-.43,-.02,-.05
1897,-.38,-.34,-.38,-.06,.07,-.13,.00,-.09,-.03,-.14,-.26,-.28,-.17,-.16,-.30,-.12,-.07,-.14
1898,.03,-.45,-.77,-.31,-.31,-.11,-.14,-.16,-.16,-.34,-.45,-.26,-.29,-.29,-.24,-.46,-.14,-.32
1899,-.13,-.67,-.52,-.20,-.26,-.38,-.20,-.03,.00,.06,.38,-.48,-.20,-.19,-.36,-.33,-.20,.15
1900,-.60,-.06,.12,-.14,-.03,-.14,-.13,-.08,.02,.25,-.15,.00,-.08,-.12,-.38,-.02,-.12,.04
1901,-.34,.07,.35,.11,-.12,.03,.02,-.13,-.26,-.31,-.19,-.40,-.10,-.07,-.09,.11,-.03,-.25
1902,-.15,.12,-.37,-.39,-.43,-.43,-.32,-.30,-.32,-.30,-.50,-.65,-.34,-.32,-.14,-.40,-.35,-.37
1903,-.23,.20,-.14,-.46,-.49,-.51,-.45,-.59,-.47,-.47,-.44,-.55,-.38,-.39,-.22,-.36,-.52,-.46
1904,-.82,-.57,-.40,-.57,-.49,-.52,-.60,-.52,-.57,-.37,-.12,-.34,-.49,-.51,-.64,-.49,-.55,-.35
1905,-.50,-.80,-.23,-.46,-.32,-.32,-.24,-.23,-.14,-.24,.06,-.25,-.31,-.31,-.55,-.34,-.26,-.11
1906,-.56,-.58,-.18,.05,-.23,-.10,-.28,-.12,-.20,-.14,-.40,.01,-.23,-.25,-.46,-.12,-.17,-.25
1907,-.54,-.72,-.27,-.48,-.61,-.52,-.42,-.37,-.37,-.19,-.59,-.59,-.47,-.42,-.42,-.45,-.44,-.38
1908,-.53,-.25,-.67,-.48,-.37,-.37,-.40,-.56,-.30,-.45,-.59,-.54,-.46,-.46,-.46,-.51,-.44,-.45
1909,-.87,-.47,-.61,-.68,-.52,-.52,-.43,-.31,-.31,-.28,-.10,-.54,-.47,-.47,-.63,-.60,-.42,-.23
1910,-.39,-.42,-.49,-.37,-.33,-.45,-.39,-.41,-.37,-.27,-.56,-.80,-.44,-.42,-.45,-.39,-.42,-.40
1911,-.74,-.58,-.59,-.43,-.47,-.32,-.38,-.40,-.31,-.12,-.12,-.30,-.40,-.44,-.71,-.50,-.37,-.18
1912,-.36,-.12,-.55,-.22,-.16,-.19,-.56,-.77,-.71,-.82,-.49,-.57,-.46,-.44,-.26,-.31,-.50,-.67
1913,-.57,-.59,-.45,-.50,-.61,-.56,-.56,-.48,-.44,-.42,-.13,.09,-.43,-.49,-.58,-.52,-.53,-.33
1914,.18,-.11,-.30,-.37,-.24,-.27,-.37,-.23,-.24,-.01,-.26,-.12,-.19,-.18,.06,-.30,-.29,-.17
1915,-.19,-.03,-.23,.06,-.05,-.10,-.07,-.14,-.14,-.28,-.02,-.15,-.11,-.11,-.11,-.07,-.10,-.14
1916,.00,-.10,-.38,-.34,-.32,-.43,-.30,-.31,-.41,-.26,-.36,-1.10,-.36,-.28,-.09,-.35,-.35,-.34
1917,-.56,-.63,-.69,-.56,-.74,-.48,-.32,-.39,-.23,-.57,-.21,-1.08,-.54,-.54,-.76,-.66,-.40,-.34
1918,-.58,-.39,-.22,-.61,-.53,-.42,-.37,-.32,-.22,-.03,-.21,-.53,-.37,-.42,-.68,-.46,-.37,-.15
1919,-.38,-.38,-.35,-.24,-.44,-.41,-.34,-.29,-.14,-.07,-.48,-.55,-.34,-.34,-.43,-.35,-.35,-.23
1920,-.09,-.20,.08,-.24,-.22,-.25,-.23,-.27,-.30,-.39,-.44,-.65,-.27,-.26,-.28,-.13,-.25,-.37
1921,.25,-.09,-.06,-.15,-.22,-.13,-.02,-.23,-.12,.03,-.06,-.11,-.08,-.12,-.16,-.14,-.12,-.05
1922,-.37,-.62,-.07,-.17,-.20,-.16,-.24,-.31,-.36,-.29,-.11,-.13,-.25,-.25,-.37,-.15,-.24,-.25
1923,-.22,-.43,-.40,-.52,-.40,-.19,-.24,-.22,-.12,.12,.22,.12,-.19,-.21,-.26,-.44,-.22,.07
1924,-.25,-.20,.06,-.27,-.06,-.16,-.15,-.21,-.18,-.20,.14,-.36,-.16,-.11,-.11,-.09,-.17,-.08
1925,-.24,-.36,-.18,-.15,-.23,-.24,-.24,-.13,.01,-.07,.22,.27,-.11,-.16,-.32,-.19,-.20,.05
1926,.51,.25,.36,-.11,-.21,-.17,-.15,-.07,-.02,.08,.17,-.28,.03,.07,.34,.01,-.13,.08
1927,-.28,-.09,-.43,-.29,-.14,-.11,-.03,-.09,.07,.26,.14,-.37,-.11,-.11,-.22,-.29,-.08,.16
1928,.29,.12,-.27,-.31,-.15,-.29,-.09,-.16,-.10,-.05,.05,-.07,-.09,-.11,.01,-.24,-.18,-.03
1929,-.56,-.82,-.17,-.33,-.28,-.35,-.31,-.15,-.17,.03,-.02,-.64,-.31,-.27,-.48,-.26,-.27,-.05
1930,-.11,-.19,.16,-.16,-.19,-.11,.01,.08,.03,.10,.41,.07,.01,-.05,-.32,-.06,.00,.18
1931,.04,-.29,.00,-.16,-.13,.17,.10,.11,.18,.30,.14,.03,.04,.04,-.06,-.10,.13,.21
1932,.39,-.21,-.22,.10,-.12,-.15,-.13,-.10,.09,.13,-.30,-.18,-.06,-.04,.07,-.08,-.13,-.03
