commodity,year,acreage,harvest,production,yield,weighted_avg_farm_price,loan_rate,beginning_stocks,supply_production,supply_imports,supply_total,dis_food_alc_ind,dis_feed_use,dis_domestic,dis_exports,dis_total,ending_stocks,price_units,wt_avg_farmer_price,units,broiler_to_feed_ratio,market_egg_to_feed_ratio,hog_to_corn_ratio,milk_to_feed_ratio,steer_and_heifer_to_corn_ratio,turkey_to_feed_ratio,annual_exported_corn_grain,annual_exported_corn_total,annual_imported_corn_grain,annual_imported_corn_total,annual_imported_sorghum_total,annual_producer_price_index,annual_grain_rail_car_loadings
Corn,1866,NA,30.017,730.814,24.3,0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.657,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1867,NA,32.116,793.905,24.7,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.781,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1868,NA,35.116,919.59,26.2,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.617,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1869,NA,35.833,782.084,21.8,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.725,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1870,NA,38.388,1124.775,29.3,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.521,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1871,NA,42.002,1141.715,27.2,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.464,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1872,NA,43.584,1279.369,29.4,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.383,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1873,NA,44.084,1008.326,22.9,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.483,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1874,NA,47.64,1058.778,22.2,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.641,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corn,1875,NA,52.446,1450.276,27.7,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(dollars per bushel),0.419,dollars per bushel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
