"Table 3--Feed grains (corn, sorghum, barley, and oats): Supply and disappearance (million metric tons)",,,,,,,,,,,,
,,,,,,,,,,,,
Mkt year and qtr 1/,,Supply,,,,Disappearance,,,,,,
,,,,,,Domestic use,,,,,,
,,Beginning stocks,Production,Imports,Total supply 2/,"Food, alcohol, and industrial use",Seed use,Feed and residual use,Total domestic use 2/,Exports,Total disappearance 2/,Ending stocks
1975/76,Q1 Sep-Nov,21,185,0.10,206,4,,32,36,11,47,159
,Q2 Dec-Feb,159,,0.08,159,4,0.09,34,38,13,51,108
,Q3 Mar-May,108,,0.09,108,4,0.50,29,34,13,47,62
,Q4 Jun-Aug,62,,0.06,62,4,0.91,20,26,12,38,24
,MY Sep-Aug,21,185,0.32,206,16,1.50,116,134,49,183,24
,,,,,,,,,,,,
1976/77,Q1 Sep-Nov,24,194,0.10,218,4,,31,35,14,49,169
,Q2 Dec-Feb,169,,0.03,169,4,0.10,33,37,12,49,120
,Q3 Mar-May,120,,0.06,120,4,0.50,28,33,13,46,75
,Q4 Jun-Aug,75,,0.08,75,5,0.99,21,27,11,38,37
,MY Sep-Aug,24,194,0.27,218,17,1.59,113,131,50,181,37
,,,,,,,,,,,,
1977/78,Q1 Sep-Nov,37,205,0.11,242,5,,33,37,12,49,193
,Q2 Dec-Feb,193,,0.04,193,4,0.09,34,38,13,51,143
,Q3 Mar-May,143,,0.06,143,5,0.48,29,34,15,49,94
,Q4 Jun-Aug,94,,0.03,94,5,0.91,22,28,16,43,50
,MY Sep-Aug,37,205,0.24,243,18,1.48,117,137,55,192,50
,,,,,,,,,,,,
1978/79,Q1 Sep-Nov,50,222,0.04,272,5,,38,43,13,56,216
,Q2 Dec-Feb,216,,0.03,216,4,0.08,38,43,12,55,161
,Q3 Mar-May,161,,0.06,161,5,0.47,35,40,15,56,105
,Q4 Jun-Aug,105,,0.06,105,5,0.78,24,29,18,48,58
,MY Sep-Aug,50,222,0.19,272,19,1.33,135,155,59,214,58
,,,,,,,,,,,,
1979/80,Q1 Sep-Nov,58,238,0.05,296,5,,41,46,18,64,232
,Q2 Dec-Feb,232,,0.03,232,5,0.08,40,45,18,63,169
,Q3 Mar-May,169,,0.05,169,5,0.48,34,40,18,57,112
,Q4 Jun-Aug,112,,0.06,112,5,0.77,25,31,17,48,64
,MY Sep-Aug,58,238,0.19,296,20,1.33,140,161,71,232,64
,,,,,,,,,,,,
1980/81,Q1 Sep-Nov,64,198,0.04,262,5,,38,43,20,63,199
,Q2 Dec-Feb,199,,0.03,199,5,0.08,34,39,19,58,141
,Q3 Mar-May,141,,0.04,141,5,0.49,33,38,18,56,85
,Q4 Jun-Aug,85,,0.06,85,6,0.82,21,27,14,41,44
,MY Sep-Aug,64,198,0.17,262,21,1.39,126,148,70,218,44
,,,,,,,,,,,,
1981/82,Q1 Sep-Nov,44,246,0.03,290,6,,38,43,16,59,231
,Q2 Dec-Feb,231,,0.03,231,5,0.08,37,43,15,58,174
,Q3 Mar-May,174,,0.06,174,6,0.49,33,39,17,56,118
,Q4 Jun-Aug,118,,0.07,118,6,0.82,21,28,12,40,78
,MY Sep-Aug,44,246,0.19,291,22,1.39,129,153,59,213,78
,,,,,,,,,,,,
1982/83,Q1 Sep-Nov,78,250,0.10,328,6,,38,45,13,58,270
,Q2 Dec-Feb,270,,0.03,270,6,0.10,40,46,15,61,209
,Q3 Mar-May,209,,0.04,209,6,0.37,38,45,13,58,151
,Q4 Jun-Aug,151,,0.08,151,7,0.95,24,31,11,43,109
,MY Sep-Aug,78,250,0.26,328,26,1.42,140,167,53,220,109
,,,,,,,,,,,,
1983/84,Q1 Sep-Nov,109,136,0.22,245,7,,41,48,14,62,183
,Q2 Dec-Feb,183,,0.13,183,6,0.08,34,41,15,56,127
,Q3 Mar-May,127,,0.14,127,7,0.50,30,37,15,52,75
,Q4 Jun-Aug,75,,0.19,75,7,0.81,16,24,11,36,40
,MY Sep-Aug,109,136,0.67,246,27,1.40,121,150,56,206,40
,,,,,,,,,,,,
1984/85,Q1 Sep-Nov,40,237,0.11,277,7,,42,50,15,65,212
,Q2 Dec-Feb,212,,0.17,212,7,0.09,39,46,18,64,148
,Q3 Mar-May,148,,0.28,148,8,0.52,32,41,14,55,93
,Q4 Jun-Aug,93,,0.22,94,8,0.90,18,27,9,36,57
,MY Sep-Aug,40,237,0.79,277,31,1.51,131,164,56,220,57
,,,,,,,,,,,,
1985/86,Q1 Sep-Nov,57,274,0.11,332,8,,41,49,13,62,270
,Q2 Dec-Feb,270,,0.13,270,8,0.09,43,51,13,63,207
,Q3 Mar-May,207,,0.26,207,9,0.49,35,44,6,50,157
,Q4 Jun-Aug,157,,0.35,158,9,0.89,17,27,5,31,126
,MY Sep-Aug,57,274,0.86,333,33,1.47,135,170,36,206,126
,,,,,,,,,,,,
1986/87,Q1 Sep-Nov,126,252,0.20,378,9,,43,51,10,61,317
,Q2 Dec-Feb,317,,0.11,318,8,0.09,45,53,10,63,254
,Q3 Mar-May,254,,0.20,254,9,0.49,34,43,15,58,197
,Q4 Jun-Aug,197,,0.24,197,9,0.82,23,33,11,45,152
,MY Sep-Aug,126,252,0.75,379,35,1.41,144,181,46,227,152
,,,,,,,,,,,,
1987/88,Q1 Sep-Nov,152,216,0.16,369,9,,47,56,12,67,302
,Q2 Dec-Feb,302,,0.22,302,8,0.08,44,52,13,65,237
,Q3 Mar-May,237,,0.40,237,9,0.49,30,39,16,55,182
,Q4 Jun-Aug,182,,0.34,182,10,0.70,26,36,12,49,134
,MY Sep-Aug,152,216,1.12,370,36,1.27,147,184,52,236,134
,,,,,,,,,,,,
1988/89,Q1 Sep-Nov,134,149,0.29,283,9,,41,50,14,65,219
,Q2 Dec-Feb,219,,0.27,219,9,0.07,33,42,15,57,162
,Q3 Mar-May,162,,0.44,162,10,0.48,25,35,17,53,109
,Q4 Jun-Aug,109,,0.39,110,10,0.67,19,30,14,44,66
,MY Sep-Aug,134,149,1.38,284,37,1.23,119,157,61,218,66
,,,,,,,,,,,,
1989/90,Q1 Sep-Nov,66,221,0.39,287,9,,46,56,18,73,214
,Q2 Dec-Feb,214,,0.36,214,9,0.06,38,48,20,67,147
,Q3 Mar-May,147,,0.36,147,10,0.48,29,40,18,58,89
,Q4 Jun-Aug,89,,0.37,90,11,0.61,18,30,15,44,46
,MY Sep-Aug,66,221,1.47,289,39,1.15,133,173,70,243,46
,,,,,,,,,,,,
1990/91,Q1 Sep-Nov,46,230,0.35,276,10,,51,61,12,73,203
,Q2 Dec-Feb,203,,0.24,204,10,0.05,39,48,14,63,141
,Q3 Mar-May,141,,0.43,141,10,0.50,27,38,14,52,90
,Q4 Jun-Aug,90,,0.46,90,11,0.57,19,31,12,42,48
,MY Sep-Aug,46,230,1.47,277,41,1.12,136,178,52,230,48
,,,,,,,,,,,,
1991/92,Q1 Sep-Nov,48,218,0.70,267,11,,53,63,12,75,191
,Q2 Dec-Feb,191,,0.49,192,10,0.05,36,46,13,59,133
,Q3 Mar-May,133,,0.58,134,11,0.56,30,41,13,54,80
,Q4 Jun-Aug,80,,0.55,80,11,0.48,22,34,12,46,34
,MY Sep-Aug,48,218,2.32,268,43,1.09,140,185,50,234,34
,,,,,,,,,,,,
1992/93,Q1 Sep-Nov,34,277,0.44,312,11,,57,68,14,82,230
,Q2 Dec-Feb,230,,0.26,230,11,0.05,38,49,15,63,166
,Q3 Mar-May,166,,0.27,167,11,0.46,33,45,13,58,109
,Q4 Jun-Aug,109,,0.41,109,12,0.53,25,37,9,46,63
,MY Sep-Aug,34,277,1.38,312,44,1.04,153,198,51,249,63
,,,,,,,,,,,,
1993/94,Q1 Sep-Nov,63,186,0.49,250,11,,52,63,12,76,174
,Q2 Dec-Feb,174,,1.04,175,11,0.04,35,46,10,57,119
,Q3 Mar-May,119,,1.22,120,11,0.54,29,41,9,50,70
,Q4 Jun-Aug,70,,1.18,71,12,0.43,23,35,9,44,27
,MY Sep-Aug,63,186,3.93,253,45,1.02,139,185,40,226,27
