"Table 18--U.S. corn and sorghum exports (1,000 bushels)",,,,,,,,,,,,,,
Export and mkt yr 1/,,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Annual
Corn grain,1988/89,,,,,"2,454","3,910","5,795","2,465","1,830","1,757","2,096","4,037",
,1989/90,"4,157","4,147","2,556","3,157","2,000","1,093","2,313",532,"2,122","1,050","1,149",796,"25,071"
,1990/91,727,"1,125",595,671,"1,311",820,"1,056","1,784","1,593","1,888","2,295","1,548","15,413"
,1991/92,262,671,"1,513","2,582","100,189","134,155","124,300","142,446","104,712","147,781","146,358","135,558","1,040,528"
,1992/93,"153,957","139,423","194,134","173,102","153,677","136,263","135,915","153,345","122,030","111,326","91,301","98,805","1,663,278"
,1993/94,"138,868","151,371","145,171","141,960","101,814","86,221","111,187","86,419","72,243","86,504","93,042","113,523","1,328,322"
,1994/95,"115,521","139,917","193,867","207,172","190,433","192,830","196,274","165,098","206,789","167,714","192,045","209,823","2,177,482"
,1995/96,"250,426","209,231","200,765","184,680","214,063","163,438","214,041","198,443","197,235","137,331","148,287","109,884","2,227,824"
,1996/97,"100,256","144,716","241,558","188,289","183,018","153,411","166,543","143,137","123,178","113,170","97,418","142,673","1,797,369"
,1997/98,"141,991","117,548","120,547","141,046","118,477","120,379","131,336","105,847","113,139","128,519","128,382","137,215","1,504,426"
,1998/99,"125,230","157,178","167,812","188,687","129,789","146,606","173,263","173,611","150,478","199,203","188,634","183,703","1,984,193"
,1999/00,"190,715","181,236","163,066","164,371","156,648","144,080","154,047","153,093","144,009","143,633","153,539","188,129","1,936,566"
,2000/01,"202,614","157,352","146,709","140,378","130,467","144,441","175,632","164,882","114,675","154,600","183,033","226,563","1,941,348"
,2001/02,"163,900","144,339","139,642","142,520","146,426","159,432","176,789","157,316","162,781","169,918","173,417","168,288","1,904,768"
,2002/03,"120,117","127,811","145,497","161,093","123,334","105,761","134,549","129,021","129,844","144,671","138,813","127,374","1,587,887"
