Table 21--U.S. barley and oats imports (bushels),,,,,,,,,,,,,,
"Import and
mkt yr 1/",,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Annual
Barley grain,1988/89,,,,,,,,"729,443","1,627,552","762,924","753,742","1,136,714",
,1989/90,"1,649,126","571,185","1,356,499","263,515","204,334","1,517,596","1,078,995","823,485","1,396,491","1,412,310","1,333,963","1,468,205","13,075,704"
,1990/91,"603,614","309,116","117,460","117,510","293,888","839,438","1,288,335","1,194,977","1,723,635","2,248,035","3,369,631","1,373,891","13,479,531"
,1991/92,"4,575,522","1,743,997","1,120,846","567,099","1,232,489","1,657,843","1,818,152","2,349,601","2,286,474","2,525,374","2,288,156","2,356,369","24,521,921"
,1992/93,"2,159,260","3,279,771","1,117,761","566,767","499,308","467,239","359,479","611,251","476,363","321,428","548,083","997,906","11,404,617"
,1993/94,"951,500","751,986","1,467,159","1,495,436","3,536,262","5,737,066","9,548,548","6,305,202","7,828,521","9,182,181","13,199,854","11,471,982","71,475,697"
,1994/95,"11,000,516","6,945,979","6,177,541","3,399,899","4,200,473","6,237,817","4,726,873","5,939,742","2,835,360","3,664,528","6,035,111","4,700,418","65,864,255"
,1995/96,"4,656,256","5,124,414","2,106,905","1,571,084","2,294,164","4,217,670","4,837,009","2,009,902","1,559,441","2,553,359","4,193,251","5,598,946","40,722,400"
,1996/97,"4,644,730","2,367,607","1,868,780","520,716","2,597,304","5,222,330","3,549,401","1,952,998","2,685,566","2,602,770","2,888,122","5,870,184","36,770,508"
,1997/98,"4,969,648","4,047,209","3,363,382","1,405,542","1,924,244","4,059,521","4,163,757","1,574,179","2,201,796","3,895,903","3,141,022","5,503,904","40,250,106"
,1998/99,"4,337,542","2,088,521","771,243","1,139,638","3,106,966","2,917,191","2,862,074","1,405,998","1,873,497","2,840,661","3,721,245","2,740,563","29,805,140"
,1999/00,"1,911,936","2,105,669","1,757,319","555,278","2,232,989","2,435,350","5,337,516","2,357,802","1,602,140","2,885,665","1,899,704","2,589,374","27,670,740"
,2000/01,"2,389,104","3,271,415","1,548,606","1,049,427","1,420,919","2,445,733","3,240,525","2,735,561","2,025,100","2,916,593","2,757,777","3,421,803","29,222,565"
,2001/02,"3,887,251","2,324,119","1,646,555","1,589,310","1,668,753","1,815,625","2,799,764","1,418,678","1,338,581","1,741,016","2,478,741","1,214,175","23,922,568"
,2002/03,"2,314,456","2,630,179","4,054,831","1,231,852","850,974","1,050,383","1,557,269","1,787,872","1,309,250","452,946","706,886","508,174","18,455,072"
,2003/04,"2,661,164","269,314","217,480","1,582,709","1,418,411","1,071,376","2,164,913","1,191,463","3,050,812","2,239,448","2,308,647","2,451,293","20,627,030"
,2004/05,"1,931,585","2,327,160","740,686","1,944,807","1,297,780","716,736","609,071","322,653","541,695","466,262","786,804","437,226","12,122,464"
,2005/06,"515,107","566,648","555,219","389,356","301,868","240,168","369,476","331,397","498,815","522,503","393,421","682,525","5,366,504"
,2006/07,"474,853","261,486","454,862","1,176,249","1,208,435","1,369,488","1,410,838","933,812","682,010","1,060,763","1,269,360","1,801,551","12,103,707"
,2007/08,"1,564,990","1,737,369","716,827","2,516,071","2,540,847","2,626,246","3,591,632","3,382,414","1,687,444","3,046,057","2,533,784","3,288,208","29,231,888"
,2008/09,"2,420,626","1,849,399","1,962,207","3,784,625","2,599,722","2,941,773","2,850,903","2,715,066","1,997,556","2,058,281","1,977,169","1,871,638","29,028,967"
,2009/10,"2,235,491","1,569,906","2,113,774","1,354,142","2,221,466","738,293","900,065","829,678","1,057,416","752,643","1,801,684","1,021,136","16,595,694"
,2010/11,"1,492,248","1,235,586","687,966","1,115,133","856,500","901,207","585,428","737,572","290,863","451,597","616,393","523,915","9,494,410"
,2011/12,"304,947","295,097","340,575","882,645","1,022,490","1,604,934","1,589,647","1,988,117","2,962,532","2,528,691","1,216,030","1,520,458","16,256,163"
,2012/13,"1,883,766","1,526,565","1,651,547","2,092,864","2,173,049","1,979,943","2,134,917","2,633,476","1,616,025","1,994,373","2,362,047","1,241,379","23,289,951"
,2013/14,"629,630","922,116","677,606","1,441,734","1,871,710","1,296,935","1,240,497","1,316,239","1,535,551","2,048,103","3,264,355","2,503,977","18,748,454"
,2014/15,"2,754,931","2,896,405","1,363,810","1,911,124","1,456,484","1,204,708","1,722,974","3,173,212","1,578,785","2,415,002","1,762,116","1,329,514","23,569,065"
,2015/16,"1,484,265","1,421,018","1,139,210","1,051,908","1,292,199","1,615,768","2,480,140","2,316,745","2,216,583","1,940,257","1,106,016","516,847","18,580,954"
,2016/17,"769,619","1,182,369","409,654","332,249","764,579","714,863","731,252","819,314","894,409","1,424,426","821,889","770,025","9,634,649"
,2017/18,"923,720","621,100","921,951","572,790","622,200","834,424","665,285","625,042","650,879","1,036,863","899,508","743,234","9,116,995"
,2018/19,"426,297","483,942","492,022","308,190","324,408","463,930","543,802",,,,,,"3,042,592"
,,,,,,,,,,,,,,
Barley total 2/,1988/89,,,,,,,,"838,489","1,720,820","851,359","857,654","1,239,385",
,1989/90,"1,745,195","661,468","1,456,086","360,996","283,661","1,674,050","1,235,670","951,218","1,556,044","1,513,346","1,417,784","1,585,804","14,441,323"
,1990/91,"691,947","547,246","357,140","200,053","485,842","1,014,543","1,569,231","1,306,682","1,836,340","2,423,555","3,401,987","1,581,999","15,416,566"
,1991/92,"4,778,394","1,919,669","1,279,512","652,111","1,313,834","1,741,481","2,009,904","2,483,012","2,460,709","2,676,242","2,422,134","2,453,302","26,190,304"
,1992/93,"2,244,926","3,467,803","1,210,126","676,419","594,740","565,914","465,468","750,665","647,058","466,275","705,239","1,088,029","12,882,662"
,1993/94,"1,133,778","1,104,042","1,868,049","1,919,584","3,967,198","5,938,312","9,837,875","6,456,668","8,094,533","9,551,417","13,538,721","11,965,255","75,375,433"
,1994/95,"11,489,435","7,525,252","6,529,861","3,659,185","4,521,814","6,519,408","5,006,149","6,399,255","3,223,743","3,969,690","6,406,988","5,046,948","70,297,726"
,1995/96,"5,021,124","5,391,808","2,496,051","1,953,787","2,723,299","4,657,465","5,174,857","2,380,570","1,864,630","2,984,501","4,553,213","5,982,296","45,183,600"
,1996/97,"5,013,088","2,741,956","2,462,081","866,382","2,966,957","5,492,777","3,844,583","2,171,508","2,872,707","2,888,518","3,239,744","6,267,310","40,827,611"
,1997/98,"5,421,915","4,462,620","3,765,455","1,839,178","2,414,100","4,418,445","4,433,205","1,764,816","2,367,004","4,148,083","3,438,174","5,729,751","44,202,746"
,1998/99,"4,663,131","2,456,172","1,109,856","1,455,616","3,446,527","3,162,955","3,182,545","1,707,699","2,168,197","3,319,653","4,208,988","3,142,240","34,023,580"
,1999/00,"2,353,075","2,456,160","2,216,976","952,440","2,806,061","3,089,657","5,948,183","2,962,254","2,182,847","3,832,631","2,911,426","3,492,325","35,204,035"
,2000/01,"3,446,917","4,517,380","2,412,383","1,732,135","2,002,292","2,908,440","3,717,011","3,450,852","2,611,577","3,704,082","3,549,785","4,197,849","38,250,702"
,2001/02,"4,736,125","3,266,542","2,537,921","2,241,931","2,540,591","2,491,810","3,534,058","2,223,296","2,164,200","2,554,069","3,262,110","2,163,789","33,716,441"
,2002/03,"3,115,942","3,607,589","4,921,013","2,446,278","1,873,488","1,826,439","4,346,720","2,650,789","3,860,520","1,700,021","1,813,920","1,564,084","33,726,803"
