Table 30--Indexes of feed consuming animal units (millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit 1/,,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Grain,Dairy,12.29,12.20,12.10,11.99,12.00,12.13,12.31,12.37,,12.38,12.13,12.47,11.72,11.53,11.34,11.22,11.16,10.92,10.85,10.68,10.66,10.59,10.48,10.34,10.28,10.32,10.32,10.25,10.30,10.12,10.16,10.29,10.34,10.47,10.55,10.32,10.40,10.49,10.46,10.45,10.58,10.60,10.63,10.72,10.63
,Cattle on feed,19.83,19.28,20.64,20.34,18.73,17.77,16.27,18.47,,17.77,19.08,17.98,17.28,18.19,17.53,17.81,19.48,18.30,19.60,19.96,19.03,19.86,20.20,20.85,20.35,21.56,21.88,21.53,20.26,21.32,21.34,22.05,22.44,22.72,21.30,21.03,21.65,22.00,21.00,19.84,19.96,20.16,20.02,21.68,22.02
,Other cattle,5.47,5.22,4.82,4.53,4.60,4.79,4.88,4.78,,4.71,4.46,4.26,4.16,4.01,3.89,3.83,3.81,3.92,3.97,4.07,4.20,4.22,4.11,3.99,3.97,3.88,3.82,3.80,3.81,3.69,3.72,3.75,3.74,3.69,3.67,3.65,3.56,3.44,3.43,3.38,3.40,3.54,3.64,3.61,3.63
,Hogs,17.48,19.43,19.60,21.70,23.81,22.39,20.34,20.53,,20.38,19.81,19.28,19.43,20.82,21.27,20.65,20.99,22.34,22.41,22.62,22.98,22.18,21.68,23.50,23.82,23.13,22.91,23.24,23.08,23.32,23.59,23.93,24.50,26.22,26.28,25.82,25.98,26.53,26.52,25.72,27.23,28.11,29.10,29.94,30.76
,Poultry,15.90,16.34,16.86,17.94,18.22,18.57,18.56,18.33,,18.63,18.98,19.78,20.97,21.47,22.05,23.08,23.89,24.58,25.29,26.01,26.85,27.51,28.21,28.61,29.06,29.44,29.86,30.30,30.15,30.35,30.70,30.83,31.08,31.27,30.53,30.25,30.21,30.09,30.25,30.49,30.64,31.17,31.68,32.47,32.97
,Other livestock,0.66,0.68,0.71,0.71,0.71,0.72,0.72,0.72,,0.72,0.70,0.70,0.72,0.71,0.69,0.69,0.67,0.64,0.65,0.66,0.66,0.66,0.67,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
,Total,71.64,73.14,74.72,77.21,78.06,76.37,73.09,75.20,,74.59,75.17,74.46,74.27,76.73,76.77,77.29,79.99,80.70,82.76,84.00,84.38,85.01,85.34,87.95,88.14,88.99,89.44,89.77,88.24,89.44,90.14,91.49,92.75,95.00,92.96,91.71,92.42,93.18,92.28,90.50,92.43,94.20,95.69,99.04,100.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High protein,Dairy,12.50,12.41,12.31,12.21,12.22,12.36,12.55,12.62,,12.62,12.38,12.72,11.95,11.75,11.56,11.45,11.38,11.14,11.08,10.91,10.88,10.81,10.69,10.55,10.50,10.54,10.54,10.47,10.52,10.34,10.38,10.52,10.57,10.71,10.79,10.56,10.64,10.73,10.70,10.69,10.83,10.86,10.88,10.97,10.88
,Cattle on feed,11.50,11.18,11.98,11.80,10.86,10.31,9.44,10.71,,10.31,11.07,10.43,10.02,10.55,10.17,10.33,11.30,10.62,11.37,11.58,11.04,11.52,11.72,12.10,11.81,12.51,12.69,12.49,11.75,12.37,12.38,12.79,13.02,13.18,12.36,12.20,12.56,12.76,12.18,11.51,11.58,11.70,11.62,12.57,12.77
,Other cattle,9.42,8.98,8.30,7.80,7.92,8.25,8.41,8.23,,8.12,7.68,7.33,7.16,6.90,6.69,6.59,6.56,6.76,6.83,7.00,7.23,7.26,7.07,6.87,6.84,6.68,6.57,6.55,6.56,6.36,6.40,6.46,6.45,6.36,6.32,6.28,6.12,5.93,5.90,5.82,5.85,6.09,6.27,6.21,6.25
,Hogs,22.21,24.68,24.90,27.57,30.24,28.44,25.84,26.08,,25.89,25.17,24.49,24.68,26.45,27.02,26.24,26.66,28.38,28.46,28.74,29.19,28.17,27.54,29.85,30.26,29.38,29.10,29.53,29.32,29.62,29.97,30.39,31.13,33.30,33.38,32.80,33.00,33.70,33.69,32.68,34.59,35.71,36.97,38.04,39.07
